,err,hypothesis_test,kurtosis_client,kurtosis_server,max_client,max_server,mean_client,mean_server,metric,min_client,min_server,nobs_client,nobs_server,p_value,skewness_client,skewness_server,statistic,variance_client,variance_server
0,'numpy.float64' object cannot be interpreted as an integer,,,,,,,,repo,,,,,,,,,,
1,,ttest_ind,,,,,,,numberOfLogicalLines,,,,,0.6448079494139578,,,0.461787949320837,,
2,,ttest_ind,,,,,,,numberOfPhysicalLines,,,,,0.5628880566557017,,,0.5796447569577943,,
3,,ttest_ind,,,,,,,numberOfStrictModeGlobal,,,,,0.1630676413855487,,,-1.4050738306707817,,
4,,ttest_ind,,,,,,,numberOfStrictModeLocal,,,,,0.7140123484970673,,,0.3675308651031551,,
5,skewtest is not valid with less than 8 samples; 6 samples were given.,,,,,,,,numberOfWindowOnError,,,,,,,,,,
6,skewtest is not valid with less than 8 samples; 3 samples were given.,,,,,,,,numberOfWindowOnErrorLines,,,,,,,,,,
7,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorEmptyHandler,,,,,,,,,,
8,skewtest is not valid with less than 8 samples; 7 samples were given.,,,,,,,,numberOfWindowOnErrorOnNoUsageOfErrorArgument,,,,,,,,,,
9,skewtest is not valid with less than 8 samples; 5 samples were given.,,,,,,,,numberOfWindowOnErrorUniqueStatement,,,,,,,,,,
10,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorUniqueConsole,,,,,,,,,,
11,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorThrows,,,,,,,,,,
12,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorThatThrows,,,,,,,,,,
13,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorRethrows,,,,,,,,,,
14,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorThatRethrows,,,,,,,,,,
15,,mannwhitneyu,,,,,,,numberOfWindowOnErrorReturns,,,,,0.4555733587487756,,,9.0,,
16,skewtest is not valid with less than 8 samples; 2 samples were given.,,,,,,,,numberOfWindowOnErrorThatReturns,,,,,,,,,,
17,,mannwhitneyu,,,,,,,numberOfWindowOnErrorThatReturnsLiteral,,,,,0.10822313364372643,,,4.0,,
18,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorContinues,,,,,,,,,,
19,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorThatContinues,,,,,,,,,,
20,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorBreaks,,,,,,,,,,
21,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowOnErrorThatBreaks,,,,,,,,,,
22,skewtest is not valid with less than 8 samples; 1 samples were given.,,,,,,,,numberOfWindowAddEventListener,,,,,,,,,,
23,skewtest is not valid with less than 8 samples; 1 samples were given.,,,,,,,,numberOfWindowAddEventListenerLines,,,,,,,,,,
24,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowAddEventListenerEmptyHandler,,,,,,,,,,
25,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowAddEventListenerNoUsageOfErrorArgument,,,,,,,,,,
26,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowAddEventListenerThatThrows,,,,,,,,,,
27,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowAddEventListenerRethrows,,,,,,,,,,
28,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowAddEventListenerThatRethrows,,,,,,,,,,
29,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowAddEventListenerUniqueStatement,,,,,,,,,,
30,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowAddEventListenerUniqueConsole,,,,,,,,,,
31,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowAddEventListenerThrows,,,,,,,,,,
32,skewtest is not valid with less than 8 samples; 1 samples were given.,,,,,,,,numberOfWindowAddEventListenerReturns,,,,,,,,,,
33,skewtest is not valid with less than 8 samples; 1 samples were given.,,,,,,,,numberOfWindowAddEventListenerThatReturns,,,,,,,,,,
34,skewtest is not valid with less than 8 samples; 1 samples were given.,,,,,,,,numberOfWindowAddEventListenerThatReturnsLiteral,,,,,,,,,,
35,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowAddEventListenerContinues,,,,,,,,,,
36,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowAddEventListenerThatContinues,,,,,,,,,,
37,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowAddEventListenerBreaks,,,,,,,,,,
38,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfWindowAddEventListenerThatBreaks,,,,,,,,,,
39,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnError,,,,,,,,,,
40,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnErrorLines,,,,,,,,,,
41,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnErrorEmptyHandler,,,,,,,,,,
42,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnErrorOnNoUsageOfErrorArgument,,,,,,,,,,
43,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnErrorUniqueStatement,,,,,,,,,,
44,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnErrorUniqueConsole,,,,,,,,,,
45,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnErrorThrows,,,,,,,,,,
46,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnErrorThatThrows,,,,,,,,,,
47,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnErrorRethrows,,,,,,,,,,
48,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnErrorThatRethrows,,,,,,,,,,
49,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnErrorReturns,,,,,,,,,,
50,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnErrorThatReturns,,,,,,,,,,
51,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnErrorThatReturnsLiteral,,,,,,,,,,
52,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnErrorContinues,,,,,,,,,,
53,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnErrorThatContinues,,,,,,,,,,
54,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnErrorBreaks,,,,,,,,,,
55,skewtest is not valid with less than 8 samples; 0 samples were given.,,,,,,,,numberOfElementOnErrorThatBreaks,,,,,,,,,,
56,,ttest_ind,,,,,,,tryCatchNumberOfTries,,,,,0.5832534859154291,,,0.5497864413100003,,
57,skewtest is not valid with less than 8 samples; 4 samples were given.,,,,,,,,tryCatchNumberOfEmptyTries,,,,,,,,,,
58,,ttest_ind,,,,,,,tryCatchNumberOfTriesLines,,,,,0.5448891748493312,,,0.606777282529079,,
59,,ttest_ind,,,,,,,tryCatchNumberOfTriesWithUniqueStatement,,,,,0.5055123051335391,,,0.6676370793937871,,
60,,ttest_ind,,,,,,,tryCatchNumberOfCatches,,,,,0.5657768778271164,,,0.5755298379667564,,
61,,ttest_ind,,,,,,,tryCatchNumberOfEmptyCatches,,,,,0.6181553972193614,,,0.499864566796775,,
62,,ttest_ind,,,,,,,tryCatchNumberOfCatchesNoUsageOfErrorArgument,,,,,0.4217065022006167,,,0.8062070149757379,,
63,,ttest_ind,,,,,,,tryCatchNumberOfCatchesLines,,,,,0.345030844147458,,,0.9471992746933058,,
64,,ttest_ind,,,,,,,tryCatchNumberOfCatchesWithUniqueConsole,,,,,0.42457810501349535,,,0.8117503318086947,,
65,,ttest_ind,,,,,,,tryCatchNumberOfCatchesWithUniqueStatement,,,,,0.6439123026626501,,,0.4632315732647468,,
