metric,Server,Client
numberOfFiles,35053,32551
numberOfLogicalLines,5484912,5952347
numberOfPhysicalLines,5502717,6031812
numberOfStrictModeGlobal,9197,2610
numberOfStrictModeLocal,6256,15322
numberOfWindowOnError,9,52
numberOfWindowOnErrorLines,31,312
numberOfWindowOnErrorEmptyHandler,0,0
numberOfWindowOnErrorOnNoUsageOfErrorArgument,2,13
numberOfWindowOnErrorUniqueStatement,0,10
numberOfWindowOnErrorUniqueConsole,0,0
numberOfWindowOnErrorThrows,0,0
numberOfWindowOnErrorThatThrows,0,0
numberOfWindowOnErrorRethrows,0,0
numberOfWindowOnErrorThatRethrows,0,0
numberOfWindowOnErrorReturns,5,29
numberOfWindowOnErrorThatReturns,2,13
numberOfWindowOnErrorThatReturnsLiteral,2,11
numberOfWindowOnErrorContinues,0,0
numberOfWindowOnErrorThatContinues,0,0
numberOfWindowOnErrorBreaks,0,0
numberOfWindowOnErrorThatBreaks,0,0
numberOfWindowAddEventListener,3,1
numberOfWindowAddEventListenerLines,1,12
numberOfWindowAddEventListenerEmptyHandler,0,0
numberOfWindowAddEventListenerNoUsageOfErrorArgument,0,0
numberOfWindowAddEventListenerThatThrows,0,0
numberOfWindowAddEventListenerRethrows,0,0
numberOfWindowAddEventListenerThatRethrows,0,0
numberOfWindowAddEventListenerUniqueStatement,1,0
numberOfWindowAddEventListenerUniqueConsole,0,0
numberOfWindowAddEventListenerThrows,0,0
numberOfWindowAddEventListenerReturns,0,1
numberOfWindowAddEventListenerThatReturns,0,1
numberOfWindowAddEventListenerThatReturnsLiteral,0,1
numberOfWindowAddEventListenerContinues,0,0
numberOfWindowAddEventListenerThatContinues,0,0
numberOfWindowAddEventListenerBreaks,0,0
numberOfWindowAddEventListenerThatBreaks,0,0
numberOfElementOnError,0,0
numberOfElementOnErrorLines,0,0
numberOfElementOnErrorEmptyHandler,0,0
numberOfElementOnErrorOnNoUsageOfErrorArgument,0,0
numberOfElementOnErrorUniqueStatement,0,0
numberOfElementOnErrorUniqueConsole,0,0
numberOfElementOnErrorThrows,0,0
numberOfElementOnErrorThatThrows,0,0
numberOfElementOnErrorRethrows,0,0
numberOfElementOnErrorThatRethrows,0,0
numberOfElementOnErrorReturns,0,0
numberOfElementOnErrorThatReturns,0,0
numberOfElementOnErrorThatReturnsLiteral,0,0
numberOfElementOnErrorContinues,0,0
numberOfElementOnErrorThatContinues,0,0
numberOfElementOnErrorBreaks,0,0
numberOfElementOnErrorThatBreaks,0,0
tryCatchNumberOfTries,23004,30620
tryCatchNumberOfEmptyTries,18,13
tryCatchNumberOfTriesLines,100737,136844
tryCatchNumberOfTriesWithUniqueStatement,12677,16849
tryCatchNumberOfCatches,21935,29278
tryCatchNumberOfEmptyCatches,5107,7775
tryCatchNumberOfCatchesNoUsageOfErrorArgument,5144,8562
tryCatchNumberOfCatchesLines,46862,66787
tryCatchNumberOfCatchesWithUniqueConsole,160,291
tryCatchNumberOfCatchesWithUniqueStatement,14033,17524
tryCatchNumberOfCatchesAlertOnly,0,2
tryCatchNumberOfErrorReassigning,3118,3249
tryCatchNumberOfCatchesThrows,2536,3833
tryCatchNumberOfCatchesThrowsLiteral,0,0
tryCatchNumberOfCatchesThrowsErrorObject,0,0
tryCatchNumberOfCatchesThatThrows,2213,3619
tryCatchNumberOfCatchesThatThrowsLiteral,25,9
tryCatchNumberOfCatchesThatThrowsLiteralOnly,20,5
tryCatchNumberOfCatchesThatThrowsUndefined,0,0
tryCatchNumberOfCatchesThatThrowsUndefinedOnly,0,0
tryCatchNumberOfCatchesThatThrowsNull,0,0
tryCatchNumberOfCatchesThatThrowsNullOnly,0,0
tryCatchNumberOfCatchesThatThrowsErrorObject,154,152
tryCatchNumberOfCatchesRethrows,1710,2850
tryCatchNumberOfCatchesThatRethrows,1670,2824
tryCatchNumberOfCatchesReturns,6221,7933
tryCatchNumberOfCatchesReturnsLiteral,1992,3114
tryCatchNumberOfCatchesReturnsErrorObject,4,0
tryCatchNumberOfCatchesThatReturns,5526,7332
tryCatchNumberOfCatchesThatReturnsLiteral,1982,3097
tryCatchNumberOfCatchesThatReturnsUndefined,25,26
tryCatchNumberOfCatchesThatReturnsNull,401,467
tryCatchNumberOfCatchesThatReturnsErrorObject,4,0
tryCatchNumberOfCatchesThatRereturns,75,59
tryCatchNumberOfCatchesContinues,25,20
tryCatchNumberOfCatchesThatContinues,25,20
tryCatchNumberOfCatchesBreaks,92,63
tryCatchNumberOfCatchesThatBreaks,85,60
tryCatchNumberOfCatchesBreaksOnly,28,11
