"mech","lines","stmts","has_error_arguments","empty","noUsageOfErrorArg","consoleLog","reassigningError","alert","throwLiteral","throwUndefined","throwNull","throwErrorObject","rethrow","returnLiteral","returnUndefined","returnNull","returnErrorObject","rereturn","continue","break","file"
"callback",0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"/home/local/CIN/lms7/project/extract-metrics/data/repo-2017/server/RxJS/perf/micro/current-thread-scheduler/observable/defer.js"
"callback",0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"/home/local/CIN/lms7/project/extract-metrics/data/repo-2017/server/RxJS/perf/micro/current-thread-scheduler/observable/empty.js"
"callback",0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"/home/local/CIN/lms7/project/extract-metrics/data/repo-2017/server/RxJS/perf/micro/current-thread-scheduler/observable/from-with-array.js"
"callback",0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"/home/local/CIN/lms7/project/extract-metrics/data/repo-2017/server/RxJS/perf/micro/current-thread-scheduler/observable/from-with-iterable.js"
"callback",0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"/home/local/CIN/lms7/project/extract-metrics/data/repo-2017/server/RxJS/perf/micro/current-thread-scheduler/observable/from-with-string.js"
"callback",0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"/home/local/CIN/lms7/project/extract-metrics/data/repo-2017/server/RxJS/perf/micro/current-thread-scheduler/observable/interval.js"
"callback",0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"/home/local/CIN/lms7/project/extract-metrics/data/repo-2017/server/RxJS/perf/micro/current-thread-scheduler/observable/of.js"
"callback",0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"/home/local/CIN/lms7/project/extract-metrics/data/repo-2017/server/RxJS/perf/micro/current-thread-scheduler/observable/range.js"
"callback",0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"/home/local/CIN/lms7/project/extract-metrics/data/repo-2017/server/RxJS/perf/micro/current-thread-scheduler/observable/throw.js"
"callback",0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"/home/local/CIN/lms7/project/extract-metrics/data/repo-2017/server/RxJS/perf/micro/current-thread-scheduler/observable/timer.js"
"callback",0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"/home/local/CIN/lms7/project/extract-metrics/data/repo-2017/server/RxJS/perf/micro/current-thread-scheduler/operators/buffercount.js"
"callback",0,0,true,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"/home/local/CIN/lms7/project/extract-metrics/data/repo-2017/server/RxJS/perf/micro/current-thread-scheduler/operators/catch.js"
"promise",1,1,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,"/home/local/CIN/lms7/project/extract-metrics/data/repo-2017/server/RxJS/perf/micro/current-thread-scheduler/operators/catch.js"
