,mech,lines,stmts,count
0,async-await,0,0,2
1,async-await,1,17,17
2,async-await,2,16,8
3,async-await,3,3,1
4,async-await,4,5,2
5,async-await,5,5,4
6,async-await,6,3,1
7,async-await,7,6,4
8,async-await,8,2,1
9,async-await,9,2,1
10,callback,0,0,401
11,callback,1,3816,3816
12,callback,2,5161,2604
13,callback,3,7526,2888
14,callback,4,8974,3095
15,callback,5,7698,2556
16,callback,6,5685,1730
17,callback,7,4984,1450
18,callback,8,4092,1162
19,callback,9,4245,1261
20,callback,10,3281,970
21,callback,11,3298,791
22,callback,12,2838,669
23,callback,13,2114,551
24,callback,14,2201,585
25,callback,15,2085,544
26,callback,16,2200,493
27,callback,17,1751,399
28,callback,18,2115,417
29,callback,19,1752,378
30,callback,20,1458,320
31,callback,21,1269,291
32,callback,22,935,216
33,callback,23,1019,241
34,callback,24,959,200
35,callback,25,923,196
36,callback,26,702,157
37,callback,27,902,175
38,callback,28,709,126
39,callback,29,604,126
40,callback,30,528,114
41,callback,31,612,115
42,callback,32,554,117
43,callback,33,478,92
44,callback,34,596,103
45,callback,35,432,95
46,callback,36,494,95
47,callback,37,597,92
48,callback,38,330,62
49,callback,39,322,70
50,callback,40,324,66
51,callback,41,545,72
52,callback,42,479,69
53,callback,43,557,79
54,callback,44,377,58
55,callback,45,253,47
56,callback,46,252,39
57,callback,47,280,41
58,callback,48,372,48
59,callback,49,339,34
60,callback,50,193,35
61,callback,51,139,28
62,callback,52,199,34
63,callback,53,258,33
64,callback,54,224,22
65,callback,55,265,34
66,callback,56,270,36
67,callback,57,247,30
68,callback,58,261,29
69,callback,59,276,28
70,callback,60,216,28
71,callback,61,401,28
72,callback,62,150,20
73,callback,63,247,30
74,callback,64,135,22
75,callback,65,154,19
76,callback,66,256,20
77,callback,67,140,16
78,callback,68,147,18
79,callback,69,165,20
80,callback,70,301,18
81,callback,71,245,19
82,callback,72,158,13
83,callback,73,201,23
84,callback,74,62,9
85,callback,75,53,6
86,callback,76,61,8
87,callback,77,300,13
88,callback,78,36,4
89,callback,79,81,5
90,callback,80,182,12
91,callback,81,96,9
92,callback,82,74,10
93,callback,83,13,2
94,callback,84,4,2
95,callback,85,85,10
96,callback,86,171,11
97,callback,87,18,3
98,callback,88,58,6
99,callback,89,24,4
100,callback,90,9,2
101,callback,91,121,7
102,callback,92,29,3
103,callback,93,12,3
104,callback,94,85,7
105,callback,95,124,7
106,callback,96,164,11
107,callback,97,3,2
108,callback,98,47,6
109,callback,99,42,3
110,callback,100,118,5
111,callback,101,77,6
112,callback,102,3,2
113,callback,103,60,6
114,callback,104,97,8
115,callback,105,52,4
116,callback,106,25,6
117,callback,108,75,5
118,callback,109,38,6
119,callback,110,97,4
120,callback,111,73,5
121,callback,112,45,3
122,callback,113,2,1
123,callback,114,22,2
124,callback,115,41,5
125,callback,116,8,1
126,callback,117,36,2
127,callback,118,44,4
128,callback,119,37,3
