"repo_name","forks","stars","watchers","open_issues","closed_issues","open_pull_requests","closed_pull_requests"
"ajenti/ajenti",585,5075,273,435,520,6,154
"gdi2290/angular-starter",5366,9529,621,66,1118,5,798
"angular-translate/angular-translate",732,4362,165,36,1305,0,488
"babel/babel",2520,26217,782,500,4343,107,2522
"jashkenas/backbone",5757,27026,1540,39,2308,37,1782
"twbs/bootstrap",57956,122419,7293,326,16512,105,8494
"adobe/brackets",6232,28746,1663,2031,6761,112,5195
"jessepollak/card",1044,9515,223,82,192,2,117
"chartjs/Chart.js",8537,35485,1375,396,3507,21,1374
"google/closure-library",728,2578,211,185,332,14,347
"ellisonleao/clumsy-bird",790,1161,139,3,48,0,23
"d3/d3",18836,73012,3632,3,1980,0,1061
"bevacqua/dragula",1336,17347,389,126,278,42,111
"enyo/dropzone",3128,13490,441,739,750,69,139
"ecomfe/echarts",7330,25624,1798,2165,5469,18,189
"yannickcr/eslint-plugin-react",944,3734,61,299,835,46,526
"github/fetch",1483,17933,387,12,384,9,201
"Valve/fingerprintjs2",732,5041,319,28,189,2,86
"zurb/foundation-sites",5795,27054,1491,356,7014,56,3447
"pablojim/highcharts-ng",510,1743,102,9,485,0,148
"browserstate/history.js",1443,10116,352,206,190,27,55
"HospitalRun/hospitalrun-frontend",1214,4076,333,97,483,22,781
"goldfire/howler.js",1070,9528,307,167,580,17,151
"niklasvh/html2canvas",2398,10979,435,159,1085,16,192
"impress/impress.js",6772,33174,1379,32,365,7,272
"usablica/intro.js",2097,16371,510,199,273,73,280
"BonsaiDen/JavaScript-Garden",572,2926,163,18,153,5,199
"liammclennan/JavaScript-Koans",1133,1245,58,1,15,11,44
"blueimp/JavaScript-Load-Image",724,2799,164,4,0,0,33
"hapijs/joi",645,7302,165,91,932,11,411
"blueimp/jQuery-File-Upload",7683,28395,1771,51,0,0,321
"kylefox/jquery-modal",509,1550,83,8,152,4,58
"bramp/js-sequence-diagrams",753,5399,235,64,78,15,30
"jsdoc3/jsdoc",917,7519,267,169,1036,31,270
"aFarkas/lazysizes",577,7962,242,79,328,10,58
"ashleydw/lightbox",885,1392,98,20,210,7,53
"adam-p/markdown-here",4486,26771,761,177,267,9,33
"Dogfalo/materialize",4405,31634,1154,211,4232,114,1144
"meteor/meteor",4965,39332,1905,74,7332,23,2262
"MithrilJS/mithril.js",650,8424,322,117,1065,23,893
"Modernizr/Modernizr",2913,22173,1062,167,1122,46,953
"legomushroom/mojs",659,12984,425,77,63,10,30
"ccampbell/mousetrap",765,8593,182,140,166,43,62
"jpillora/notifyjs",536,1417,66,51,32,14,17
"SAP/openui5",785,1569,296,178,1254,17,475
"os-js/OS.js",559,4135,239,13,473,1,185
"mozilla/pdf.js",5175,21156,934,663,4598,23,4212
"utatti/perfect-scrollbar",983,5658,217,17,576,3,161
"photonstorm/phaser",5174,19504,1149,35,1974,6,1281
"dimsemenov/PhotoSwipe",2326,15983,577,371,975,53,93
"sampotts/plyr",1031,10690,343,240,390,11,137
"prettier/prettier",992,22038,311,255,1919,19,1897
"kimmobrunfeldt/progressbar.js",877,6196,170,31,135,3,36
"getsentry/raven-js",522,2208,76,43,583,5,609
"twbs/ratchet",1529,14295,681,208,326,18,311
"gnab/remark",618,7423,206,130,257,1,123
"hakimel/reveal.js",11621,39170,1478,246,1196,61,605
"RocketChat/Rocket.Chat",3495,16414,803,2310,4381,162,3139
"jlmakes/scrollreveal",1818,14596,424,11,362,2,44
"mycolorway/simditor",711,3555,196,54,0,8,87
"lorenzofox3/Smart-Table",559,1807,99,38,650,6,137
"cferdinandi/smooth-scroll",566,3177,87,13,237,4,161
"sockjs/sockjs-client",833,5510,282,34,266,5,114
"summernote/summernote",1468,6967,294,516,1490,24,688
"svgdotjs/svg.js",702,5389,231,45,621,10,152
"jschr/textillate",701,3191,179,53,38,10,18
"mrdoob/three.js",14759,39733,2232,595,7156,150,5566
"tinymce/tinymce",1363,5073,236,944,2535,6,774
"angular-ui/ui-router",3357,13767,593,301,2764,40,549
"jashkenas/underscore",5079,22448,918,58,1236,48,1366
"chriso/validator.js",876,9754,203,33,424,2,335
"ethereum/web3.js",1116,4291,284,329,466,21,340
"zhukov/webogram",1488,4712,449,144,1245,6,229
"DemocracyOS/democracyos",580,1580,136,10,1033,0,482
"playcanvas/engine",610,3271,271,137,300,12,672
"aurelia/framework",608,10442,544,67,571,7,224
"alvarotrigo/fullPage.js",5702,22570,871,104,2668,21,340
"javve/list.js",796,8767,245,100,370,18,92
"mapbox/mapbox-gl-js",658,2668,275,510,3419,30,2313
"riot/riot",973,12811,462,23,1800,0,724
"sinonjs/sinon",611,5505,90,29,919,3,772
"stealjs/steal",554,1195,49,65,621,1,658
"sbstjn/timesheet.js",521,6421,193,14,20,8,11
"zeroclipboard/zeroclipboard",1126,6438,289,80,384,7,219
"Semantic-Org/Semantic-UI",4318,39887,1405,1268,4203,151,604
"facebookincubator/create-react-app",8628,44387,1289,157,2352,106,1479
"apidoc/apidoc",1059,5739,214,162,400,19,127
"aui/art-template",2142,6477,503,40,440,0,42
"atom/atom",8720,43719,2461,771,12120,129,3666
"avajs/ava",760,13126,231,120,841,8,766
"axios/axios",2584,37155,795,163,919,44,271
"aws/aws-sdk-js",704,3883,243,224,1235,14,485
"bitcoinjs/bitcoinjs-lib",793,2436,163,17,404,9,574
"petkaantonov/bluebird",2054,16381,381,50,978,42,430
"cheeriojs/cheerio",1044,15116,367,152,621,26,357
"google/closure-compiler",784,4023,243,750,1303,19,733
"tj/co",626,9366,288,31,140,12,139
"jashkenas/docco",566,3319,67,29,138,27,188
"QingWei-Li/docsify",764,5219,130,38,226,0,148
"jedireza/drywall",648,2264,139,0,0,0,68
"electron/electron",7473,57297,2581,874,7171,32,3946
"eslint/eslint",1881,10741,272,250,5641,46,4102
"expressjs/express",6623,36945,1792,120,2651,46,756
"expressjs/expressjs.com",759,1803,151,35,328,5,532
"Marak/Faker.js",1067,13253,254,113,170,57,270
"adrai/flowchart.js",666,4677,221,60,46,5,29
"foreverjs/forever",809,10844,297,246,567,21,142
"TryGhost/Ghost",5713,25046,1101,96,4616,13,4741
"gruntjs/grunt",1535,11726,574,116,1046,24,428
"gulpjs/gulp",4233,28885,1216,19,1553,4,547
"wycats/handlebars.js",1678,13033,467,63,989,10,363
"hapijs/hapi",974,9157,450,4,2610,0,1134
"hexojs/hexo",2986,20908,795,201,2509,9,339
"nfarina/homebridge",1040,8161,522,240,1297,5,220
"indexzero/http-server",788,6417,165,115,164,46,108
"openstreetmap/iD",638,1518,132,265,3353,16,1147
"facebook/immutable-js",1322,22711,562,63,931,20,471
"blueimp/JavaScript-MD5",815,2252,95,1,0,0,18
"jakesgordon/javascript-state-machine",619,4542,230,31,74,3,41
"workshopper/javascripting",674,1662,140,12,68,2,136
"rwaldron/johnny-five",1277,8729,429,106,804,7,533
"jsdoc3/jsdoc",917,7519,267,169,1036,31,270
"typicode/json-server",2397,29271,754,263,314,32,122
"keystonejs/keystone",1934,12177,521,276,1931,72,2308
"koajs/koa",1774,19937,836,34,594,17,509
"Automattic/kue",769,7127,327,208,661,21,268
"kvz/locutus",1124,2978,219,20,124,9,206
"lodash/lodash",3146,30064,782,0,2858,1,807
"strongloop/loopback",1001,10668,467,120,2743,2,950
"MichMich/MagicMirror",1749,5832,469,9,487,6,689
"Dogfalo/materialize",4406,31635,1154,211,4232,114,1144
"josdejong/mathjs",558,5489,197,140,586,12,317
"segmentio/metalsmith",572,6572,126,37,153,15,95
"meteor/meteor",4965,39333,1905,74,7332,23,2262
"mobxjs/mobx",755,13561,338,16,893,6,452
"mochajs/mocha",2069,14786,395,275,1732,48,1194
"moment/moment",5338,35769,953,239,2695,57,1472
"moment/moment-timezone",527,2540,106,72,373,11,122
"mongo-express/mongo-express",523,2565,95,29,201,3,159
"Automattic/mongoose",2277,15001,564,269,4820,6,1092
"mqttjs/MQTT.js",567,3000,192,86,426,8,263
"mysqljs/mysql",1694,11376,491,98,1512,19,299
"NaturalNode/natural",710,7433,295,93,128,7,181
"louischatriot/nedb",539,7897,263,93,348,29,75
"zeit/next.js",2097,22935,573,233,2015,27,1651
"nightwatchjs/nightwatch",707,7858,259,299,1143,64,232
"nodejs/node",9652,46044,2642,677,6570,138,11659
"nodejitsu/node-http-proxy",1333,8430,270,320,544,53,321
"node-inspector/node-inspector",755,12019,290,202,587,22,219
"mongodb/node-mongodb-native",1277,6607,308,7,0,9,852
"peterbraden/node-opencv",644,3272,162,129,252,17,216
"brianc/node-postgres",696,5793,163,99,1025,7,445
"restify/node-restify",867,7868,266,77,869,10,661
"node-serialport/node-serialport",682,3212,156,51,941,3,516
"NodeBB/NodeBB",1782,8416,425,92,5216,9,986
"nodemailer/nodemailer",854,9103,219,4,699,0,148
"remy/nodemon",944,13787,243,6,929,0,346
"nuxt/nuxt.js",758,10308,391,326,2229,10,350
"openlayers/openlayers",1517,3328,362,576,2418,37,4893
"mholt/PapaParse",606,5144,132,40,309,4,106
"parse-community/parse-server",3896,14775,700,219,2650,30,1681
"jaredhanson/passport",784,12756,337,253,289,26,89
"mafintosh/peerflix",596,4637,176,96,125,17,101
"Unitech/pm2",1690,23648,641,383,2568,20,538
"postcss/postcss",968,17685,557,16,510,2,592
"pouchdb/pouchdb",1039,10208,315,30,3356,2,3730
"dcodeIO/protobuf.js",582,4032,158,110,716,9,158
"pugjs/pug",1804,16170,583,171,2036,10,749
"facebook/react-native",13894,60593,3415,322,11136,143,6498
"reactGo/reactGo",566,2507,107,59,331,25,530
"request/request",2241,18723,428,594,1265,59,963
"ReactiveX/RxJS",1044,11015,400,231,1348,78,1717
"balderdashy/sails",1774,18488,818,49,3464,23,787
"sequelize/sequelize",2340,13364,388,309,6107,27,2686
"expressjs/session",535,3103,106,44,350,18,146
"showdownjs/showdown",983,6280,186,17,332,4,149
