"numberOfCallbackErrorFunctions","numberOfFirstErrorArgFunctions","numberOfEmptyCallbacks","numberOfConsoleStatementOnly","numberOfLogicalLines","numberOfPhysicalLines"
0,0,0,0,95,121
0,0,0,0,74,101
0,0,0,0,202,237
0,0,0,0,5,7
0,0,0,0,33,37
0,0,0,0,33,37
0,0,0,0,33,37
0,0,0,0,58,65
0,0,0,0,115,125
0,0,0,0,65,75
0,0,0,0,108,121
0,0,0,0,64,72
0,0,0,0,123,134
0,0,0,0,69,76
0,0,0,0,53,59
0,0,0,0,20,26
0,0,0,0,17,20
0,0,0,0,18,41
0,0,0,0,44,56
0,0,0,0,75,79
0,0,0,0,31,35
0,0,0,0,18,43
0,0,0,0,21,26
0,0,0,0,66,68
0,0,0,0,98,103
0,0,0,0,18,26
0,0,0,0,20,23
0,0,0,0,49,56
0,0,0,0,53,68
0,0,0,0,41,45
0,0,0,0,18,21
0,0,0,0,68,87
0,0,0,0,14,18
0,0,0,0,44,49
0,0,0,0,65,70
0,0,0,0,75,83
0,0,0,0,17,23
0,0,0,0,65,73
0,0,0,0,32,42
0,0,0,0,139,146
0,0,0,0,36,41
0,0,0,0,32,45
0,0,0,0,22,26
0,0,0,0,63,70
0,1,0,0,190,244
0,0,0,0,80,111
0,0,0,0,35,39
0,0,0,0,79,101
0,0,0,0,19,23
0,0,0,0,65,83
0,0,0,0,58,74
0,0,0,0,37,44
0,0,0,0,42,51
0,0,0,0,59,77
0,0,0,0,42,47
0,0,0,0,55,72
0,0,0,0,49,64
0,0,0,0,49,64
0,0,0,0,34,38
0,0,0,0,34,44
0,0,0,0,45,56
0,0,0,0,45,52
0,0,0,0,40,51
0,0,0,0,70,84
0,0,0,0,125,138
0,0,0,0,67,81
0,0,0,0,55,61
0,0,0,0,62,72
0,0,0,0,34,42
0,0,0,0,23,28
0,0,0,0,15,20
0,0,0,0,15,20
0,0,0,0,18,23
0,0,0,0,19,24
0,0,0,0,18,23
0,0,0,0,16,21
0,0,0,0,125,138
0,0,0,0,28,30
0,0,0,0,18,23
0,0,0,0,15,20
0,0,0,0,39,46
0,0,0,0,33,41
0,0,0,0,28,33
0,0,0,0,22,28
0,0,0,0,74,89
0,0,0,0,13,17
0,0,0,0,40,52
0,0,0,0,63,78
0,0,0,0,87,97
0,0,0,0,41,55
0,0,0,0,35,42
0,0,0,0,48,52
0,0,0,0,28,41
0,0,0,0,61,70
0,0,0,0,35,41
0,0,0,0,18,23
0,0,0,0,42,58
0,1,0,0,38,44
0,0,0,0,26,30
0,0,0,0,48,56
0,2,1,1,35,43
0,1,1,0,33,38
0,0,0,0,35,38
0,0,0,0,100,126
0,0,0,0,29,40
0,0,0,0,28,43
0,0,0,0,74,83
0,0,0,0,74,83
0,0,0,0,31,37
0,0,0,0,23,32
0,0,0,0,58,67
0,0,0,0,76,97
0,0,0,0,88,113
0,0,0,0,89,116
0,0,0,0,88,113
0,4,0,3,102,139
1,4,0,4,115,153
1,2,0,2,106,141
0,0,0,0,13,17
0,0,0,0,13,17
0,0,0,0,34,37
0,0,0,0,34,37
0,0,0,0,25,28
0,0,0,0,25,28
0,0,0,0,28,31
0,0,0,0,28,31
0,0,0,0,26,29
0,0,0,0,26,29
0,0,0,0,23,26
0,0,0,0,24,27
0,0,0,0,19,22
0,0,0,0,19,22
0,0,0,0,22,25
0,0,0,0,24,27
0,0,0,0,24,27
0,0,0,0,28,31
0,0,0,0,29,32
0,0,0,0,34,37
0,0,0,0,32,37
0,0,0,0,22,25
0,0,0,0,22,25
0,0,0,0,13,18
0,0,0,0,27,32
0,0,0,0,13,16
0,0,0,0,40,44
0,0,0,0,18,22
0,0,0,0,63,67
0,0,0,0,17,20
0,0,0,0,29,35
0,0,0,0,35,42
0,0,0,0,20,23
0,0,0,0,63,78
0,0,0,0,53,75
0,0,0,0,20,24
0,0,0,0,20,24
0,0,0,0,22,26
0,0,0,0,20,24
0,0,0,0,20,24
0,0,0,0,19,23
0,0,0,0,19,23
0,0,0,0,19,22
0,0,0,0,79,90
0,0,0,0,100,113
0,0,0,0,23,28
0,0,0,0,16,21
0,0,0,0,43,47
0,0,0,0,18,20
0,0,0,0,25,32
0,0,0,0,21,26
0,0,0,0,18,20
0,0,0,0,13,18
0,0,0,0,21,27
0,0,0,0,18,23
0,0,0,0,18,23
0,0,0,0,68,77
0,0,0,0,57,70
0,0,0,0,84,97
0,0,0,0,50,57
0,0,0,0,45,51
0,0,0,0,47,53
0,0,0,0,52,59
0,0,0,0,22,30
0,0,0,0,26,30
0,0,0,0,51,61
0,0,0,0,48,58
0,0,0,0,41,48
0,0,0,0,25,28
0,0,0,0,41,45
0,0,0,0,68,75
0,0,0,0,26,31
0,0,0,0,39,43
0,0,0,0,12,15
0,0,0,0,98,102
0,0,0,0,57,65
0,0,0,0,43,50
0,0,0,0,19,22
0,0,0,0,22,30
0,0,0,0,21,28
0,0,0,0,29,32
0,1,0,0,47,54
0,0,0,0,5,5
0,0,0,0,26,30
0,0,0,0,15,16
0,0,0,0,4,5
0,0,0,0,3,3
0,0,0,0,0,1
0,0,0,0,9,10
0,0,0,0,3,3
0,0,0,0,2,2
0,2,0,0,291,367
0,0,0,0,2,24
0,2,0,1,280,350
0,3,0,0,880,1089
0,1,0,0,25,30
0,3,0,0,180,195
0,1,0,0,53,68
0,2,0,0,70,77
0,1,0,0,18,22
0,0,0,0,22,25
0,1,0,0,125,136
0,1,0,0,30,34
0,1,0,1,43,52
0,1,0,0,55,64
0,1,0,0,27,32
0,1,0,0,38,43
0,0,0,0,130,156
0,1,0,0,22,27
0,1,0,0,38,42
0,0,0,0,52,76
0,0,0,0,52,68
0,0,0,0,17,30
0,0,0,0,15,25
0,0,0,0,19,31
0,0,0,0,22,46
0,0,0,0,34,39
0,0,0,0,17,19
0,0,0,0,58,99
0,0,0,0,22,24
0,0,0,0,29,29
0,6,0,4,113,129
0,1,0,1,40,49
0,1,0,0,114,142
0,0,0,0,6,7
0,0,0,0,6,7
0,1,0,1,51,59
0,0,0,0,18,23
0,0,0,0,25,32
0,0,0,0,193,247
0,0,0,0,116,135
0,1,0,0,174,248
0,0,0,0,11,16
0,0,0,0,108,117
0,0,0,0,328,432
0,0,0,0,374,418
0,0,0,0,38,56
0,0,0,0,55,72
0,0,0,0,24,32
0,0,0,0,42,51
0,0,0,0,9,15
0,0,0,0,11,23
0,0,0,0,115,139
0,0,0,0,28,29
0,0,0,0,31,39
0,0,0,0,22,29
0,0,0,0,270,305
0,0,0,0,142,160
0,0,0,0,38,54
0,0,0,0,131,158
0,1,0,1,36,42
0,4,0,1,53,57
0,0,0,0,10,12
0,1,0,0,11,13
0,1,0,1,25,27
0,1,0,1,12,14
0,0,0,0,17,19
0,0,0,0,97,113
0,0,0,0,29,35
0,0,0,0,48,59
0,2,0,1,110,118
0,0,0,0,7,12
0,0,0,0,179,212
0,0,0,0,201,241
0,0,0,0,36,41
0,0,0,0,8,8
0,0,0,0,12,13
0,0,0,0,15,18
0,0,0,0,127,141
0,0,0,0,10,12
0,1,0,0,83,95
0,0,0,0,16,17
0,0,0,0,7,8
0,0,0,0,7,8
0,0,0,0,80,98
0,0,0,0,7,8
0,0,0,0,7,8
0,0,0,0,24,27
0,0,0,0,38,45
0,1,0,1,68,85
0,0,0,0,15,16
1,4,0,0,175,198
0,0,0,0,12,13
0,0,0,0,14,16
0,0,0,0,8,9
0,0,0,0,65,69
0,0,0,0,29,31
0,0,0,0,66,72
0,1,0,0,609,737
0,0,0,0,144,172
0,0,0,0,22,27
0,0,0,0,38,42
0,0,0,0,11,12
0,0,0,0,16,18
0,0,0,0,174,205
0,0,0,0,7,8
0,0,0,0,24,27
0,0,0,0,11,22
0,0,0,0,22,35
0,0,0,0,13,18
0,0,0,0,7,8
0,0,0,0,7,9
0,0,0,0,7,8
0,0,0,0,115,140
0,0,0,0,66,77
0,0,0,0,51,58
0,0,0,0,20,21
1,0,0,0,27,31
0,0,0,0,158,185
0,0,0,0,43,53
0,0,0,0,65,73
0,0,0,0,78,95
0,0,0,0,30,35
0,0,0,0,19,26
0,6,0,5,778,906
0,0,0,0,162,197
0,2,0,2,32,43
0,0,0,0,471,548
0,0,0,0,382,471
0,0,0,0,329,421
0,0,0,0,234,277
0,2,0,0,204,223
0,0,0,0,17,21
0,0,0,0,12,15
0,0,0,0,52,66
0,3,0,1,172,203
0,0,0,0,67,78
0,0,0,0,39,51
0,0,0,0,1,1
0,0,0,0,12,15
0,0,0,0,153,181
0,8,0,4,237,313
0,0,0,0,41,50
0,2,0,2,55,64
0,0,0,0,137,172
0,0,0,0,37,41
0,2,0,1,91,108
0,0,0,0,8,13
0,2,0,1,216,243
0,0,0,0,38,45
0,0,0,0,38,47
0,0,0,0,1,1
0,0,0,0,1,1
0,0,0,0,20,22
0,2,0,1,49,55
0,0,0,0,16,19
0,1,0,0,114,130
0,0,0,0,60,79
0,0,0,0,89,118
0,0,0,0,55,64
0,0,0,0,6,7
0,0,0,0,9,10
0,0,0,0,20,24
0,0,0,0,46,52
0,0,0,0,78,87
0,0,0,0,100,123
0,0,0,0,13,14
0,0,0,0,18,23
0,0,0,0,217,260
0,0,0,0,256,287
0,0,0,0,15,27
0,0,0,0,17,30
0,4,0,1,230,286
0,0,0,0,22,29
0,1,0,0,40,50
0,0,0,0,20,22
0,0,0,0,3,3
0,0,0,0,4,4
0,0,0,0,2,2
0,1,0,0,380,458
0,2,0,2,64,73
0,0,0,0,61,73
0,0,0,0,74,100
0,0,0,0,33,39
0,2,0,2,63,73
0,0,0,0,27,31
0,0,0,0,9,12
0,0,0,0,20,23
0,0,0,0,7,8
0,0,0,0,12,15
0,0,0,0,18,24
0,0,0,0,22,27
0,0,0,0,21,26
0,0,0,0,20,22
0,0,0,0,10,12
0,0,0,0,13,16
0,0,0,0,41,50
0,0,0,0,337,454
0,0,0,0,6,7
0,1,0,1,13,17
0,0,0,0,4,5
0,0,0,0,30,33
0,0,0,0,22,27
0,0,0,0,19,23
0,1,0,0,282,326
0,0,0,0,288,337
0,0,0,0,40,43
0,0,0,0,37,47
0,0,0,0,55,59
0,0,0,0,11,13
0,0,0,0,19,26
0,0,0,0,30,30
0,1,0,0,376,413
0,0,0,0,21,24
0,0,0,0,81,110
0,0,0,0,61,67
0,0,0,0,53,57
0,0,0,0,19,25
0,0,0,0,12,15
0,0,0,0,28,38
0,0,0,0,77,107
0,0,0,0,24,28
0,0,0,0,24,29
0,0,0,0,54,71
0,0,0,0,34,45
0,4,0,0,93,133
0,1,0,0,34,41
0,0,0,0,17,18
0,0,0,0,23,27
0,0,0,0,24,29
0,0,0,0,24,29
0,0,0,0,37,44
0,0,0,0,36,45
0,0,0,0,31,39
0,1,0,1,89,135
0,0,0,0,46,55
0,2,0,0,29,34
0,0,0,0,92,105
0,2,0,0,25,39
0,0,0,0,31,36
0,1,0,0,25,29
0,0,0,0,22,28
