"numberOfCallbackErrorFunctions","numberOfFirstErrorArgFunctions","numberOfEmptyCallbacks","numberOfConsoleStatementOnly","numberOfLogicalLines","numberOfPhysicalLines"
0,0,0,0,52,76
0,0,0,0,200,282
0,0,0,0,59,87
0,0,0,0,203,286
0,0,0,0,56,82
0,0,0,0,203,286
0,0,0,0,56,82
0,0,0,0,203,286
0,0,0,0,5,8
0,0,0,0,8,11
0,0,0,0,8,11
0,0,0,0,8,11
0,0,0,0,112,125
0,0,0,0,44,55
0,0,0,0,13,15
0,0,0,0,7,12
0,0,0,0,1,2
0,0,0,0,7,8
0,0,0,0,26,33
0,0,0,0,25,31
0,0,0,0,12,16
0,0,0,0,8,9
0,0,0,0,11,16
0,4,0,0,78,100
0,2,0,0,29,69
0,1,0,0,138,252
0,1,0,1,268,474
0,2,0,1,127,279
0,6,0,3,292,557
0,0,0,0,10,11
2,33,0,9,2134,2395
