repo,type,mech,count,lines,strategy,strategy_count
Chart.js.csv,client,try-catch,2,2,empty,1.0
Faker.js.csv,server,try-catch,452,540,empty,57.0
Ghost.csv,server,try-catch,120,388,empty,2.0
JavaScript-Garden.csv,client,try-catch,4,12,empty,0.0
JavaScript-Koans.csv,client,try-catch,52,80,empty,25.0
JavaScript-Load-Image.csv,client,try-catch,171,423,empty,56.0
JavaScript-MD5.csv,server,try-catch,122,295,empty,41.0
MQTT.js.csv,server,try-catch,17,29,empty,0.0
MagicMirror.csv,server,try-catch,13,62,empty,0.0
Modernizr.csv,client,try-catch,258,220,empty,76.0
NodeBB.csv,server,try-catch,205,282,empty,27.0
OS.js.csv,client,try-catch,264,256,empty,73.0
PapaParse.csv,server,try-catch,15,24,empty,0.0
Rocket.Chat.csv,client,try-catch,286,653,empty,12.0
RxJS.csv,server,try-catch,35,78,empty,1.0
Semantic-UI.csv,client,try-catch,71,53,empty,28.0
UglifyJS2.csv,server,try-catch,129,286,empty,7.0
ajenti.csv,client,try-catch,160,150,empty,85.0
angular-starter.csv,client,try-catch,1,1,empty,0.0
angular-translate.csv,client,try-catch,21,9,empty,16.0
apidoc.csv,server,try-catch,33,30,empty,11.0
atom.csv,server,try-catch,141,223,empty,34.0
ava.csv,server,try-catch,55,186,empty,2.0
aws-sdk-js.csv,server,try-catch,710,1297,empty,84.0
axios.csv,server,try-catch,28,56,empty,5.0
babel.csv,client,try-catch,59,184,empty,3.0
backbone.csv,client,try-catch,93,110,empty,37.0
bitcoinjs-lib.csv,server,try-catch,7,1,empty,6.0
bluebird.csv,server,try-catch,276,366,empty,45.0
bootstrap.csv,client,try-catch,45,49,empty,2.0
brackets.csv,client,try-catch,1069,1511,empty,488.0
card.csv,client,try-catch,14,50,empty,0.0
cheerio.csv,server,try-catch,1,0,empty,1.0
closure-compiler.csv,server,try-catch,83,116,empty,6.0
closure-library.csv,client,try-catch,629,1501,empty,93.0
clumsy-bird.csv,client,try-catch,34,30,empty,4.0
co.csv,server,try-catch,45,48,empty,0.0
create-react-app.csv,client,try-catch,19,32,empty,7.0
democracyos.csv,client,try-catch,6,9,empty,0.0
docsify.csv,server,try-catch,22,47,empty,1.0
dragula.csv,client,try-catch,4,0,empty,4.0
dropzone.csv,client,try-catch,23,23,empty,10.0
echarts.csv,client,try-catch,145,193,empty,67.0
electron.csv,server,try-catch,97,113,empty,21.0
engine.csv,client,try-catch,10,26,empty,2.0
eslint-plugin-react.csv,client,try-catch,4,4,empty,0.0
eslint.csv,server,try-catch,178,442,empty,38.0
express.csv,server,try-catch,17,23,empty,0.0
fetch.csv,client,try-catch,3,3,empty,0.0
fingerprintjs2.csv,client,try-catch,54,64,empty,10.0
forever.csv,server,try-catch,5,6,empty,4.0
fullPage.js.csv,client,try-catch,1,1,empty,0.0
grunt.csv,server,try-catch,21,39,empty,0.0
gulp.csv,server,try-catch,4,8,empty,0.0
handlebars.js.csv,server,try-catch,24,57,empty,1.0
hapi.csv,server,try-catch,15,32,empty,1.0
hexo.csv,server,try-catch,78,81,empty,0.0
highcharts-ng.csv,client,try-catch,6,0,empty,6.0
history.js.csv,client,try-catch,757,991,empty,339.0
homebridge.csv,server,try-catch,6,20,empty,0.0
hospitalrun-frontend.csv,client,try-catch,1211,1587,empty,254.0
howler.js.csv,client,try-catch,30,22,empty,8.0
http-server.csv,server,try-catch,1,1,empty,0.0
iD.csv,server,try-catch,42,69,empty,13.0
immutable-js.csv,server,try-catch,13,24,empty,3.0
impress.js.csv,client,try-catch,14,50,empty,0.0
intro.js.csv,client,try-catch,52,54,empty,28.0
jQuery-File-Upload.csv,client,try-catch,18,5,empty,13.0
johnny-five.csv,server,try-catch,8,8,empty,0.0
joi.csv,client,try-catch,46,84,empty,5.0
jquery-modal.csv,client,try-catch,4,24,empty,0.0
jsdoc.csv,client,try-catch,44,63,empty,3.0
jsdoc.csv,server,try-catch,44,63,empty,3.0
jsdom.csv,server,try-catch,440,496,empty,28.0
koa.csv,server,try-catch,38,102,empty,0.0
kue.csv,server,try-catch,7,17,empty,0.0
lazysizes.csv,client,try-catch,19,12,empty,7.0
lightbox.csv,client,try-catch,6,6,empty,0.0
list.js.csv,client,try-catch,12,28,empty,0.0
lodash.csv,server,try-catch,3,1,empty,2.0
loopback.csv,server,try-catch,26,34,empty,4.0
mapbox-gl-js.csv,client,try-catch,20,46,empty,0.0
markdown-here.csv,client,try-catch,60,187,empty,5.0
materialize.csv,client,try-catch,13,11,empty,2.0
materialize.csv,server,try-catch,13,11,empty,2.0
metalsmith.csv,server,try-catch,3,11,empty,0.0
meteor.csv,client,try-catch,540,1337,empty,112.0
meteor.csv,server,try-catch,540,1337,empty,112.0
mithril.js.csv,client,try-catch,294,391,empty,15.0
mocha.csv,server,try-catch,45,167,empty,3.0
mojs.csv,client,try-catch,40,55,empty,15.0
moment-timezone.csv,server,try-catch,6,0,empty,6.0
moment.csv,server,try-catch,19,12,empty,7.0
mongo-express.csv,server,try-catch,24,51,empty,2.0
mongoose.csv,server,try-catch,262,448,empty,1.0
mousetrap.csv,client,try-catch,71,162,empty,13.0
mysql.csv,server,try-catch,7,10,empty,1.0
natural.csv,server,try-catch,3,4,empty,0.0
nedb.csv,server,try-catch,321,911,empty,3.0
nightwatch.csv,server,try-catch,87,127,empty,11.0
node-http-proxy.csv,server,try-catch,6,6,empty,0.0
node-inspector.csv,server,try-catch,85,86,empty,26.0
node-mongodb-native.csv,server,try-catch,422,845,empty,50.0
node-postgres.csv,server,try-catch,6,12,empty,0.0
node-restify.csv,server,try-catch,66,127,empty,5.0
node-serialport.csv,server,try-catch,118,196,empty,0.0
node.csv,server,try-catch,2030,4056,empty,315.0
nodemailer.csv,server,try-catch,43,108,empty,13.0
nodemon.csv,server,try-catch,14,22,empty,6.0
notifyjs.csv,client,try-catch,2,2,empty,0.0
nuxt.js.csv,server,try-catch,4,6,empty,2.0
openlayers.csv,server,try-catch,175,211,empty,3.0
openui5.csv,client,try-catch,2517,18454,empty,382.0
passport.csv,server,try-catch,6,6,empty,0.0
pdf.js.csv,client,try-catch,193,444,empty,19.0
perfect-scrollbar.csv,client,try-catch,2,2,empty,0.0
phaser.csv,client,try-catch,151,236,empty,20.0
plyr.csv,client,try-catch,239,348,empty,48.0
pm2.csv,server,try-catch,213,401,empty,31.0
postcss.csv,server,try-catch,5,17,empty,0.0
pouchdb.csv,server,try-catch,500,1341,empty,61.0
prettier.csv,client,try-catch,53,181,empty,2.0
progressbar.js.csv,client,try-catch,1,0,empty,1.0
protobuf.js.csv,server,try-catch,114,285,empty,16.0
pug.csv,server,try-catch,47,210,empty,1.0
ratchet.csv,client,try-catch,7,7,empty,0.0
raven-js.csv,client,try-catch,270,394,empty,62.0
react-native.csv,server,try-catch,190,493,empty,68.0
remark.csv,client,try-catch,3,24,empty,0.0
request.csv,server,try-catch,8,10,empty,0.0
reveal.js.csv,client,try-catch,28,57,empty,2.0
riot.csv,client,try-catch,46,116,empty,0.0
sails.csv,server,try-catch,457,987,empty,23.0
scrollreveal.csv,client,try-catch,39,47,empty,0.0
sequelize.csv,server,try-catch,20,36,empty,0.0
showdown.csv,server,try-catch,8,11,empty,0.0
simditor.csv,client,try-catch,56,112,empty,0.0
sinon.csv,server,try-catch,11709,10427,empty,3898.0
smooth-scroll.csv,client,try-catch,20,20,empty,0.0
socket.io.csv,server,try-catch,5,4,empty,1.0
sockjs-client.csv,client,try-catch,336,446,empty,119.0
spectron.csv,server,try-catch,6,4,empty,2.0
steal.csv,client,try-catch,1262,2692,empty,179.0
store.js.csv,server,try-catch,7,8,empty,0.0
summernote.csv,client,try-catch,1,0,empty,1.0
superagent.csv,server,try-catch,483,502,empty,9.0
svg.js.csv,client,try-catch,35,69,empty,8.0
svgo.csv,server,try-catch,12,28,empty,0.0
three.js.csv,client,try-catch,516,1680,empty,29.0
tinymce.csv,client,try-catch,2,0,empty,2.0
ui-router.csv,client,try-catch,737,1061,empty,102.0
underscore.csv,client,try-catch,24,28,empty,6.0
validator.js.csv,client,try-catch,6,2,empty,4.0
waterline.csv,server,try-catch,283,1664,empty,0.0
web3.js.csv,client,try-catch,188,280,empty,30.0
webogram.csv,client,try-catch,1749,4209,empty,293.0
webpack.csv,server,try-catch,216,367,empty,49.0
webtorrent.csv,server,try-catch,11,12,empty,5.0
wekan.csv,server,try-catch,44,139,empty,0.0
winston.csv,server,try-catch,20,25,empty,3.0
zeroclipboard.csv,client,try-catch,47,147,empty,5.0
Chart.js.csv,client,try-catch,2,2,noUsageOfErrorArg,0.0
Faker.js.csv,server,try-catch,452,540,noUsageOfErrorArg,334.0
Ghost.csv,server,try-catch,120,388,noUsageOfErrorArg,13.0
JavaScript-Garden.csv,client,try-catch,4,12,noUsageOfErrorArg,0.0
JavaScript-Koans.csv,client,try-catch,52,80,noUsageOfErrorArg,12.0
JavaScript-Load-Image.csv,client,try-catch,171,423,noUsageOfErrorArg,65.0
JavaScript-MD5.csv,server,try-catch,122,295,noUsageOfErrorArg,46.0
MQTT.js.csv,server,try-catch,17,29,noUsageOfErrorArg,5.0
MagicMirror.csv,server,try-catch,13,62,noUsageOfErrorArg,6.0
Modernizr.csv,client,try-catch,258,220,noUsageOfErrorArg,112.0
NodeBB.csv,server,try-catch,205,282,noUsageOfErrorArg,64.0
OS.js.csv,client,try-catch,264,256,noUsageOfErrorArg,11.0
PapaParse.csv,server,try-catch,15,24,noUsageOfErrorArg,0.0
Rocket.Chat.csv,client,try-catch,286,653,noUsageOfErrorArg,90.0
RxJS.csv,server,try-catch,35,78,noUsageOfErrorArg,2.0
Semantic-UI.csv,client,try-catch,71,53,noUsageOfErrorArg,9.0
UglifyJS2.csv,server,try-catch,129,286,noUsageOfErrorArg,50.0
ajenti.csv,client,try-catch,160,150,noUsageOfErrorArg,57.0
angular-starter.csv,client,try-catch,1,1,noUsageOfErrorArg,1.0
angular-translate.csv,client,try-catch,21,9,noUsageOfErrorArg,5.0
apidoc.csv,server,try-catch,33,30,noUsageOfErrorArg,13.0
atom.csv,server,try-catch,141,223,noUsageOfErrorArg,19.0
ava.csv,server,try-catch,55,186,noUsageOfErrorArg,2.0
aws-sdk-js.csv,server,try-catch,710,1297,noUsageOfErrorArg,267.0
axios.csv,server,try-catch,28,56,noUsageOfErrorArg,4.0
babel.csv,client,try-catch,59,184,noUsageOfErrorArg,5.0
backbone.csv,client,try-catch,93,110,noUsageOfErrorArg,23.0
bitcoinjs-lib.csv,server,try-catch,7,1,noUsageOfErrorArg,1.0
bluebird.csv,server,try-catch,276,366,noUsageOfErrorArg,68.0
bootstrap.csv,client,try-catch,45,49,noUsageOfErrorArg,15.0
brackets.csv,client,try-catch,1069,1511,noUsageOfErrorArg,298.0
card.csv,client,try-catch,14,50,noUsageOfErrorArg,0.0
cheerio.csv,server,try-catch,1,0,noUsageOfErrorArg,0.0
closure-compiler.csv,server,try-catch,83,116,noUsageOfErrorArg,35.0
closure-library.csv,client,try-catch,629,1501,noUsageOfErrorArg,118.0
clumsy-bird.csv,client,try-catch,34,30,noUsageOfErrorArg,22.0
co.csv,server,try-catch,45,48,noUsageOfErrorArg,0.0
create-react-app.csv,client,try-catch,19,32,noUsageOfErrorArg,10.0
democracyos.csv,client,try-catch,6,9,noUsageOfErrorArg,3.0
docsify.csv,server,try-catch,22,47,noUsageOfErrorArg,7.0
dragula.csv,client,try-catch,4,0,noUsageOfErrorArg,0.0
dropzone.csv,client,try-catch,23,23,noUsageOfErrorArg,8.0
echarts.csv,client,try-catch,145,193,noUsageOfErrorArg,15.0
electron.csv,server,try-catch,97,113,noUsageOfErrorArg,23.0
engine.csv,client,try-catch,10,26,noUsageOfErrorArg,4.0
eslint-plugin-react.csv,client,try-catch,4,4,noUsageOfErrorArg,4.0
eslint.csv,server,try-catch,178,442,noUsageOfErrorArg,46.0
express.csv,server,try-catch,17,23,noUsageOfErrorArg,4.0
fetch.csv,client,try-catch,3,3,noUsageOfErrorArg,3.0
fingerprintjs2.csv,client,try-catch,54,64,noUsageOfErrorArg,22.0
forever.csv,server,try-catch,5,6,noUsageOfErrorArg,0.0
fullPage.js.csv,client,try-catch,1,1,noUsageOfErrorArg,1.0
grunt.csv,server,try-catch,21,39,noUsageOfErrorArg,4.0
gulp.csv,server,try-catch,4,8,noUsageOfErrorArg,0.0
handlebars.js.csv,server,try-catch,24,57,noUsageOfErrorArg,0.0
hapi.csv,server,try-catch,15,32,noUsageOfErrorArg,2.0
hexo.csv,server,try-catch,78,81,noUsageOfErrorArg,1.0
highcharts-ng.csv,client,try-catch,6,0,noUsageOfErrorArg,0.0
history.js.csv,client,try-catch,757,991,noUsageOfErrorArg,272.0
homebridge.csv,server,try-catch,6,20,noUsageOfErrorArg,1.0
hospitalrun-frontend.csv,client,try-catch,1211,1587,noUsageOfErrorArg,340.0
howler.js.csv,client,try-catch,30,22,noUsageOfErrorArg,16.0
http-server.csv,server,try-catch,1,1,noUsageOfErrorArg,1.0
iD.csv,server,try-catch,42,69,noUsageOfErrorArg,19.0
immutable-js.csv,server,try-catch,13,24,noUsageOfErrorArg,3.0
impress.js.csv,client,try-catch,14,50,noUsageOfErrorArg,2.0
intro.js.csv,client,try-catch,52,54,noUsageOfErrorArg,20.0
jQuery-File-Upload.csv,client,try-catch,18,5,noUsageOfErrorArg,5.0
johnny-five.csv,server,try-catch,8,8,noUsageOfErrorArg,2.0
joi.csv,client,try-catch,46,84,noUsageOfErrorArg,27.0
jquery-modal.csv,client,try-catch,4,24,noUsageOfErrorArg,0.0
jsdoc.csv,client,try-catch,44,63,noUsageOfErrorArg,14.0
jsdoc.csv,server,try-catch,44,63,noUsageOfErrorArg,14.0
jsdom.csv,server,try-catch,440,496,noUsageOfErrorArg,36.0
koa.csv,server,try-catch,38,102,noUsageOfErrorArg,2.0
kue.csv,server,try-catch,7,17,noUsageOfErrorArg,3.0
lazysizes.csv,client,try-catch,19,12,noUsageOfErrorArg,12.0
lightbox.csv,client,try-catch,6,6,noUsageOfErrorArg,6.0
list.js.csv,client,try-catch,12,28,noUsageOfErrorArg,0.0
lodash.csv,server,try-catch,3,1,noUsageOfErrorArg,0.0
loopback.csv,server,try-catch,26,34,noUsageOfErrorArg,0.0
mapbox-gl-js.csv,client,try-catch,20,46,noUsageOfErrorArg,3.0
markdown-here.csv,client,try-catch,60,187,noUsageOfErrorArg,27.0
materialize.csv,client,try-catch,13,11,noUsageOfErrorArg,11.0
materialize.csv,server,try-catch,13,11,noUsageOfErrorArg,11.0
metalsmith.csv,server,try-catch,3,11,noUsageOfErrorArg,1.0
meteor.csv,client,try-catch,540,1337,noUsageOfErrorArg,120.0
meteor.csv,server,try-catch,540,1337,noUsageOfErrorArg,120.0
mithril.js.csv,client,try-catch,294,391,noUsageOfErrorArg,150.0
mocha.csv,server,try-catch,45,167,noUsageOfErrorArg,8.0
mojs.csv,client,try-catch,40,55,noUsageOfErrorArg,17.0
moment-timezone.csv,server,try-catch,6,0,noUsageOfErrorArg,0.0
moment.csv,server,try-catch,19,12,noUsageOfErrorArg,12.0
mongo-express.csv,server,try-catch,24,51,noUsageOfErrorArg,1.0
mongoose.csv,server,try-catch,262,448,noUsageOfErrorArg,45.0
mousetrap.csv,client,try-catch,71,162,noUsageOfErrorArg,14.0
mysql.csv,server,try-catch,7,10,noUsageOfErrorArg,1.0
natural.csv,server,try-catch,3,4,noUsageOfErrorArg,0.0
nedb.csv,server,try-catch,321,911,noUsageOfErrorArg,85.0
nightwatch.csv,server,try-catch,87,127,noUsageOfErrorArg,11.0
node-http-proxy.csv,server,try-catch,6,6,noUsageOfErrorArg,0.0
node-inspector.csv,server,try-catch,85,86,noUsageOfErrorArg,27.0
node-mongodb-native.csv,server,try-catch,422,845,noUsageOfErrorArg,42.0
node-postgres.csv,server,try-catch,6,12,noUsageOfErrorArg,1.0
node-restify.csv,server,try-catch,66,127,noUsageOfErrorArg,32.0
node-serialport.csv,server,try-catch,118,196,noUsageOfErrorArg,0.0
node.csv,server,try-catch,2030,4056,noUsageOfErrorArg,403.0
nodemailer.csv,server,try-catch,43,108,noUsageOfErrorArg,2.0
nodemon.csv,server,try-catch,14,22,noUsageOfErrorArg,6.0
notifyjs.csv,client,try-catch,2,2,noUsageOfErrorArg,2.0
nuxt.js.csv,server,try-catch,4,6,noUsageOfErrorArg,0.0
openlayers.csv,server,try-catch,175,211,noUsageOfErrorArg,13.0
openui5.csv,client,try-catch,2517,18454,noUsageOfErrorArg,959.0
passport.csv,server,try-catch,6,6,noUsageOfErrorArg,0.0
pdf.js.csv,client,try-catch,193,444,noUsageOfErrorArg,48.0
perfect-scrollbar.csv,client,try-catch,2,2,noUsageOfErrorArg,0.0
phaser.csv,client,try-catch,151,236,noUsageOfErrorArg,113.0
plyr.csv,client,try-catch,239,348,noUsageOfErrorArg,111.0
pm2.csv,server,try-catch,213,401,noUsageOfErrorArg,37.0
postcss.csv,server,try-catch,5,17,noUsageOfErrorArg,0.0
pouchdb.csv,server,try-catch,500,1341,noUsageOfErrorArg,194.0
prettier.csv,client,try-catch,53,181,noUsageOfErrorArg,16.0
progressbar.js.csv,client,try-catch,1,0,noUsageOfErrorArg,0.0
protobuf.js.csv,server,try-catch,114,285,noUsageOfErrorArg,22.0
pug.csv,server,try-catch,47,210,noUsageOfErrorArg,11.0
ratchet.csv,client,try-catch,7,7,noUsageOfErrorArg,6.0
raven-js.csv,client,try-catch,270,394,noUsageOfErrorArg,80.0
react-native.csv,server,try-catch,190,493,noUsageOfErrorArg,28.0
