repo,type,mech,alert,break,consoleLog,continue,count,empty,has_error_arguments,lines,noUsageOfErrorArg,reassigningError,rereturn,rethrow,returnErrorObject,returnLiteral,returnNull,returnUndefined,stmts,throwErrorObject,throwLiteral,throwNull,throwUndefined
Chart.js.csv,client,callback,0.0,1.0,0.0,0.0,27,0.0,27.0,274,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,128,0.0,0.0,0.0,0.0
Faker.js.csv,server,callback,0.0,5.0,0.0,1.0,210,0.0,210.0,1445,2.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,363,0.0,0.0,0.0,0.0
Ghost.csv,server,callback,0.0,0.0,0.0,0.0,413,0.0,413.0,3797,0.0,11.0,0.0,1.0,0.0,0.0,0.0,0.0,2017,1.0,0.0,0.0,0.0
JavaScript-Load-Image.csv,client,callback,0.0,3.0,4.0,0.0,83,0.0,83.0,927,2.0,8.0,0.0,3.0,0.0,7.0,1.0,0.0,289,1.0,0.0,0.0,0.0
JavaScript-MD5.csv,server,callback,0.0,1.0,3.0,0.0,55,0.0,55.0,597,0.0,6.0,0.0,2.0,0.0,0.0,1.0,0.0,192,1.0,0.0,0.0,0.0
MQTT.js.csv,server,callback,0.0,0.0,1.0,0.0,38,0.0,38.0,159,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0
MagicMirror.csv,server,callback,0.0,1.0,5.0,1.0,32,0.0,32.0,285,11.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,70,0.0,0.0,0.0,0.0
Modernizr.csv,client,callback,0.0,0.0,0.0,0.0,15,0.0,15.0,102,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,0.0
NodeBB.csv,server,callback,0.0,14.0,15.0,2.0,3122,0.0,3122.0,20679,11.0,22.0,0.0,26.0,0.0,21.0,3.0,0.0,8713,0.0,2.0,0.0,0.0
OS.js.csv,client,callback,2.0,0.0,4.0,0.0,378,0.0,378.0,3849,46.0,6.0,0.0,0.0,0.0,14.0,2.0,0.0,774,1.0,0.0,0.0,0.0
PapaParse.csv,server,callback,0.0,2.0,3.0,0.0,46,0.0,46.0,326,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,104,0.0,0.0,0.0,0.0
Rocket.Chat.csv,client,callback,2.0,10.0,50.0,3.0,725,0.0,725.0,7285,118.0,12.0,0.0,10.0,0.0,15.0,1.0,0.0,1920,5.0,1.0,0.0,0.0
Semantic-UI.csv,client,callback,0.0,0.0,2.0,0.0,47,0.0,47.0,409,15.0,6.0,0.0,3.0,0.0,6.0,0.0,0.0,123,2.0,0.0,0.0,0.0
UglifyJS2.csv,server,callback,0.0,0.0,0.0,0.0,98,0.0,98.0,467,5.0,1.0,0.0,37.0,0.0,0.0,1.0,0.0,304,0.0,0.0,0.0,0.0
angular-starter.csv,client,callback,0.0,0.0,1.0,0.0,1,0.0,1.0,6,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
angular-translate.csv,client,callback,0.0,1.0,0.0,1.0,27,0.0,27.0,1248,0.0,1.0,0.0,0.0,0.0,19.0,1.0,0.0,113,1.0,1.0,0.0,0.0
apidoc.csv,server,callback,0.0,0.0,0.0,0.0,28,0.0,28.0,376,1.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,157,0.0,0.0,0.0,0.0
atom.csv,server,callback,0.0,2.0,0.0,2.0,154,0.0,154.0,1299,7.0,8.0,0.0,7.0,0.0,4.0,0.0,0.0,390,7.0,0.0,0.0,0.0
ava.csv,server,callback,0.0,1.0,0.0,0.0,100,0.0,100.0,524,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,325,1.0,0.0,0.0,0.0
