,repo,count,lines,total_logical_lines
0,Chart.js.csv,30,277,27645
1,Faker.js.csv,662,1985,777454
2,Ghost.csv,843,5236,72322
3,JavaScript-Garden.csv,7,98,2182
4,JavaScript-Koans.csv,64,179,6015
5,JavaScript-Load-Image.csv,258,1355,21148
6,JavaScript-MD5.csv,179,894,12382
7,MQTT.js.csv,82,204,4838
8,MagicMirror.csv,51,358,7435
9,Modernizr.csv,273,322,12497
10,NodeBB.csv,3342,20997,90503
11,OS.js.csv,753,4336,36187
12,PapaParse.csv,61,350,6037
13,PhotoSwipe.csv,38,918,6061
14,Rocket.Chat.csv,1041,8001,113737
15,RxJS.csv,225,207,14071
16,Semantic-UI.csv,120,462,54434
17,UglifyJS2.csv,229,772,35567
18,ajenti.csv,531,6276,23444
19,angular-starter.csv,2,7,836
20,angular-translate.csv,50,1260,8758
21,apidoc.csv,62,409,3973
22,atom.csv,319,1578,69100
23,ava.csv,167,751,14740
24,aws-sdk-js.csv,1499,6387,443471
25,axios.csv,69,634,5576
26,babel.csv,140,633,44421
27,backbone.csv,181,2562,22147
28,bitcoinjs-lib.csv,46,621,6756
29,bluebird.csv,873,6304,34252
30,bootstrap.csv,88,213,15031
31,brackets.csv,2461,13035,304921
32,card.csv,56,640,3625
33,cheerio.csv,5,13,5428
34,closure-compiler.csv,347,382,74632
35,closure-library.csv,1866,9411,424337
36,clumsy-bird.csv,78,415,8242
37,co.csv,60,137,730
38,create-react-app.csv,50,265,3120
39,d3.csv,3,13,116
40,democracyos.csv,323,2582,12612
41,docco.csv,3,23,246
42,docsify.csv,37,140,7095
43,dragula.csv,22,318,2772
44,dropzone.csv,77,537,5173
45,drywall.csv,228,2229,8487
46,echarts.csv,588,6991,318908
47,electron.csv,469,2070,27604
48,engine.csv,87,681,54638
49,eslint-plugin-react.csv,7,24,29567
50,eslint.csv,219,675,192391
51,express.csv,163,812,10774
52,expressjs.com.csv,23,160,695
53,fetch.csv,24,123,1941
54,fingerprintjs2.csv,68,128,6103
55,flowchart.js.csv,1,5,2969
56,forever.csv,58,283,1592
57,framework.csv,9,16,3471
58,fullPage.js.csv,58,940,10864
59,grunt.csv,34,102,3582
60,gulp.csv,7,19,362
61,handlebars.js.csv,71,433,11272
62,hapi.csv,51,195,24530
63,hexo.csv,153,312,19720
64,highcharts-ng.csv,6,0,1443
65,history.js.csv,2477,24518,123451
66,homebridge.csv,6,20,1437
67,hospitalrun-frontend.csv,14454,182462,203782
68,howler.js.csv,34,72,5041
69,http-server.csv,12,18,248
70,iD.csv,192,1411,63564
71,immutable-js.csv,21,45,6662
72,impress.js.csv,26,274,5248
73,intro.js.csv,85,410,10513
74,jQuery-File-Upload.csv,95,693,4287
75,javascript-state-machine.csv,10,359,8441
76,javascripting.csv,4,38,253
77,johnny-five.csv,25,257,56623
78,joi.csv,80,372,40168
79,jquery-modal.csv,5,27,1345
80,jsdoc.csv,180,872,22475
81,jsdoc.csv,180,872,22475
82,jsdom.csv,502,1042,58752
83,koa.csv,50,181,4106
84,kue.csv,82,673,3771
85,lazysizes.csv,80,574,6460
86,lightbox.csv,6,6,1359
87,list.js.csv,33,179,7577
88,lodash.csv,3,1,5181
89,loopback.csv,1022,8061,25973
90,mapbox-gl-js.csv,267,1542,39411
91,markdown-here.csv,112,527,15911
92,materialize.csv,422,4152,19932
93,materialize.csv,422,4152,19932
94,metalsmith.csv,44,286,1074
95,meteor.csv,2394,19634,194381
96,meteor.csv,2394,19634,194381
97,mithril.js.csv,393,1176,27226
98,mobx.csv,6,34,168
99,mocha.csv,201,1302,13950
100,mojs.csv,52,120,38399
101,moment-timezone.csv,9,17,30576
102,moment.csv,22,26,161791
103,mongo-express.csv,70,888,2856
104,mongoose.csv,3179,36676,81426
105,mousetrap.csv,124,587,8793
106,mysql.csv,574,5155,13059
107,natural.csv,47,318,18315
108,nedb.csv,1199,13524,27886
109,nightwatch.csv,293,1194,25031
110,node-http-proxy.csv,34,122,3102
111,node-inspector.csv,529,4159,115539
112,node-mongodb-native.csv,4626,73153,88381
113,node-opencv.csv,96,1022,2138
114,node-postgres.csv,166,1117,6904
115,node-restify.csv,490,2459,13827
116,node-serialport.csv,238,869,5169
117,node.csv,6495,134473,932438
118,nodemailer.csv,328,2152,13807
119,nodemon.csv,43,175,4408
120,notifyjs.csv,5,8,608
121,nuxt.js.csv,35,251,8671
122,openlayers.csv,272,1182,86763
123,openui5.csv,5186,134572,1137763
124,passport.csv,101,379,6476
125,pdf.js.csv,602,4272,76529
126,peerflix.csv,1,129,184
127,perfect-scrollbar.csv,71,926,4547
128,phaser.csv,227,459,184376
129,plyr.csv,330,709,22601
130,pm2.csv,864,6237,18740
131,postcss.csv,13,38,3864
132,pouchdb.csv,3300,41952,90659
133,prettier.csv,100,502,20602
134,progressbar.js.csv,4,27,2572
135,protobuf.js.csv,196,1444,34207
136,pug.csv,58,263,7093
137,ratchet.csv,61,805,3027
138,raven-js.csv,364,1090,23790
139,react-native.csv,321,1762,48303
140,reactGo.csv,45,280,2651
141,remark.csv,10,69,13241
142,request.csv,230,1075,9978
143,reveal.js.csv,223,7970,18122
144,riot.csv,84,454,21876
145,sails.csv,1352,9725,27226
146,scrollreveal.csv,39,47,3515
147,sequelize.csv,198,1337,82999
148,session.csv,101,715,2642
149,showdown.csv,9,16,8686
150,simditor.csv,272,2074,11599
151,sinon.csv,13311,20094,900711
152,smooth-scroll.csv,20,20,1893
153,socket.io.csv,71,271,4779
154,sockjs-client.csv,417,1468,8153
155,sockjs-node.csv,1,7,275
156,spectron.csv,18,154,5653
157,standard.csv,11,130,202
158,steal.csv,3082,32899,172138
159,store.js.csv,15,79,2530
160,summernote.csv,39,416,16356
161,superagent.csv,801,2340,7331
162,svg.js.csv,66,181,21461
163,svgo.csv,34,145,6322
164,three.js.csv,1488,98225,501621
165,timesheet.js.csv,1,1,318
166,tinymce.csv,18,146,1751
167,ui-router.csv,918,13258,61810
168,underscore.csv,54,343,10802
169,validator.js.csv,7,4,7729
170,waterline.csv,555,5202,13171
171,web3.js.csv,346,1645,40401
172,webogram.csv,3452,140078,420227
173,webpack.csv,560,4456,52208
174,webtorrent.csv,361,1027,5753
175,wekan.csv,78,328,12702
176,winston.csv,52,330,3664
177,zeroclipboard.csv,72,292,8617
