,mech,repo,count,lines,stmts
0,async-await,Rocket.Chat.csv,1,4,4
1,async-await,aws-sdk-js.csv,3,11,3
2,async-await,babel.csv,5,22,12
3,async-await,closure-compiler.csv,1,0,0
4,async-await,closure-library.csv,1,1,1
5,async-await,node-mongodb-native.csv,7,34,12
6,async-await,node.csv,26,57,37
7,async-await,nuxt.js.csv,1,5,2
8,async-await,prettier.csv,1,0,0
9,async-await,react-native.csv,3,8,5
10,callback,Chart.js.csv,27,274,128
11,callback,Faker.js.csv,210,1445,363
12,callback,Ghost.csv,413,3797,2017
13,callback,JavaScript-Garden.csv,3,86,6
14,callback,JavaScript-Koans.csv,12,99,31
15,callback,JavaScript-Load-Image.csv,83,927,289
16,callback,JavaScript-MD5.csv,55,597,192
17,callback,MQTT.js.csv,38,159,65
18,callback,MagicMirror.csv,32,285,70
19,callback,Modernizr.csv,15,102,43
20,callback,NodeBB.csv,3122,20679,8713
21,callback,OS.js.csv,378,3849,774
22,callback,PapaParse.csv,46,326,104
23,callback,PhotoSwipe.csv,38,918,190
24,callback,Rocket.Chat.csv,725,7285,1920
25,callback,RxJS.csv,181,109,41
26,callback,Semantic-UI.csv,47,409,123
27,callback,UglifyJS2.csv,98,467,304
28,callback,ajenti.csv,370,6124,666
29,callback,angular-starter.csv,1,6,1
30,callback,angular-translate.csv,27,1248,113
31,callback,apidoc.csv,28,376,157
32,callback,atom.csv,154,1299,390
33,callback,ava.csv,100,524,325
34,callback,aws-sdk-js.csv,715,4919,2060
35,callback,axios.csv,26,545,132
36,callback,babel.csv,73,423,134
37,callback,backbone.csv,85,2448,379
38,callback,bitcoinjs-lib.csv,39,620,197
39,callback,bluebird.csv,587,5917,1432
40,callback,bootstrap.csv,39,158,85
41,callback,brackets.csv,1371,11481,3187
42,callback,card.csv,42,590,236
43,callback,cheerio.csv,3,10,6
44,callback,closure-compiler.csv,258,261,142
45,callback,closure-library.csv,1236,7909,3275
46,callback,clumsy-bird.csv,44,385,109
47,callback,co.csv,10,84,21
48,callback,create-react-app.csv,18,216,68
49,callback,d3.csv,3,13,3
50,callback,democracyos.csv,265,2458,708
51,callback,docco.csv,3,23,11
52,callback,docsify.csv,13,91,30
53,callback,dragula.csv,18,318,142
54,callback,dropzone.csv,54,514,106
55,callback,drywall.csv,227,2227,574
56,callback,echarts.csv,440,6785,1858
57,callback,electron.csv,313,1823,716
58,callback,engine.csv,71,649,186
59,callback,eslint-plugin-react.csv,3,20,8
60,callback,eslint.csv,40,232,86
61,callback,express.csv,146,789,409
62,callback,expressjs.com.csv,23,160,55
63,callback,fetch.csv,13,105,34
64,callback,fingerprintjs2.csv,12,62,24
65,callback,flowchart.js.csv,1,5,2
66,callback,forever.csv,44,254,120
67,callback,framework.csv,3,10,3
68,callback,fullPage.js.csv,57,939,252
69,callback,grunt.csv,13,63,26
70,callback,gulp.csv,3,11,11
71,callback,handlebars.js.csv,47,376,130
72,callback,hapi.csv,30,147,63
73,callback,hexo.csv,59,175,95
74,callback,history.js.csv,1719,23494,3849
75,callback,hospitalrun-frontend.csv,13059,180445,27230
76,callback,howler.js.csv,2,46,16
77,callback,http-server.csv,11,17,15
78,callback,iD.csv,136,1317,361
79,callback,immutable-js.csv,7,20,10
80,callback,impress.js.csv,12,224,78
81,callback,intro.js.csv,33,356,131
82,callback,jQuery-File-Upload.csv,77,688,214
83,callback,javascript-state-machine.csv,10,359,20
84,callback,javascripting.csv,4,38,9
85,callback,johnny-five.csv,16,247,66
86,callback,joi.csv,30,264,63
87,callback,jquery-modal.csv,1,3,1
88,callback,jsdoc.csv,92,746,278
89,callback,jsdom.csv,39,479,142
