strategy,count,perc
Others,48903,47.730733192785195
Ignore arg,11778,11.495666432419771
Empty,8424,8.222066057624737
Reassign error,7063,6.8936909502615755
Re-throw,4245,4.143241977043805
"Ignore arg, Return literal",2936,2.865620363863512
"Reassign error, Break",1371,1.3381353947060202
consoleLog,881,0.8598813149059109
returnLiteral,881,0.8598813149059109
"noUsageOfErrorArg,returnNull",527,0.514367142968689
break,493,0.48118216600296715
throwErrorObject,360,0.35137034434293746
"throwErrorObject,rethrow",314,0.30647302256578435
"reassigningError,returnLiteral",205,0.20008589052861714
returnNull,184,0.17958928710861247
"reassigningError,returnLiteral,break",174,0.1698289997657531
"noUsageOfErrorArg,throwErrorObject",167,0.16299679862575156
"noUsageOfErrorArg,consoleLog",164,0.16006871242289372
"noUsageOfErrorArg,reassigningError",156,0.15226048254860622
"reassigningError,rethrow",137,0.1337159365971734
"consoleLog,rethrow",108,0.10541110330288123
continue,89,0.08686655735144842
"noUsageOfErrorArg,break",78,0.07613024127430311
"reassigningError,continue,break",75,0.0732021550714453
"rethrow,returnLiteral",64,0.06246583899429999
returnErrorObject,64,0.06246583899429999
"reassigningError,throwErrorObject",63,0.06148981026001405
"consoleLog,reassigningError",52,0.050753494182868744
"rethrow,break",43,0.041969235574295306
"returnLiteral,break",40,0.039041149371437496
"throwErrorObject,break",34,0.03318497696572187
"noUsageOfErrorArg,continue",34,0.03318497696572187
returnUndefined,32,0.031232919497149996
"noUsageOfErrorArg,returnUndefined",31,0.030256890762864055
"rethrow,returnNull",30,0.02928086202857812
"reassigningError,continue",24,0.023424689622862496
"continue,break",24,0.023424689622862496
"noUsageOfErrorArg,throwLiteral",22,0.021472632154290624
alert,21,0.020496603420004686
"reassigningError,returnNull",19,0.01854454595143281
"reassigningError,throwErrorObject,continue,break",17,0.016592488482860934
"throwErrorObject,returnLiteral",17,0.016592488482860934
"consoleLog,throwErrorObject,rethrow",17,0.016592488482860934
throwLiteral,16,0.015616459748574998
"returnNull,break",15,0.01464043101428906
"reassigningError,returnLiteral,continue,break",15,0.01464043101428906
"consoleLog,returnLiteral",15,0.01464043101428906
"returnLiteral,returnNull",14,0.013664402280003124
"noUsageOfErrorArg,returnLiteral,break",13,0.012688373545717186
"noUsageOfErrorArg,reassigningError,break",13,0.012688373545717186
"reassigningError,throwErrorObject,rethrow",12,0.011712344811431248
"reassigningError,throwErrorObject,rethrow,returnNull,break",8,0.007808229874287499
"consoleLog,break",8,0.007808229874287499
"throwErrorObject,rethrow,returnLiteral,continue,break",6,0.005856172405715624
"reassigningError,throwErrorObject,rethrow,break",6,0.005856172405715624
"reassigningError,throwErrorObject,returnNull,break",6,0.005856172405715624
"returnLiteral,returnNull,break",6,0.005856172405715624
"reassigningError,throwErrorObject,break",5,0.004880143671429687
"rethrow,continue",5,0.004880143671429687
"consoleLog,throwErrorObject",5,0.004880143671429687
"returnLiteral,continue",5,0.004880143671429687
"noUsageOfErrorArg,alert",5,0.004880143671429687
"reassigningError,throwErrorObject,returnLiteral",4,0.0039041149371437495
"reassigningError,throwErrorObject,returnLiteral,returnNull,break",4,0.0039041149371437495
"reassigningError,returnLiteral,returnNull,continue,break",4,0.0039041149371437495
"noUsageOfErrorArg,consoleLog,throwLiteral",4,0.0039041149371437495
"returnLiteral,continue,break",3,0.002928086202857812
"reassigningError,throwErrorObject,rethrow,returnLiteral,break",3,0.002928086202857812
"reassigningError,throwErrorObject,rethrow,returnNull",3,0.002928086202857812
"throwErrorObject,continue",3,0.002928086202857812
"reassigningError,throwErrorObject,returnLiteral,break",3,0.002928086202857812
"reassigningError,returnLiteral,returnUndefined,break",3,0.002928086202857812
"noUsageOfErrorArg,returnLiteral,returnNull,break",3,0.002928086202857812
"noUsageOfErrorArg,consoleLog,returnLiteral",3,0.002928086202857812
"consoleLog,alert",3,0.002928086202857812
"noUsageOfErrorArg,reassigningError,returnLiteral",3,0.002928086202857812
"returnLiteral,returnUndefined,continue",2,0.0019520574685718748
"reassigningError,throwErrorObject,returnLiteral,continue,break",2,0.0019520574685718748
"reassigningError,throwErrorObject,returnLiteral,returnNull,continue,break",2,0.0019520574685718748
"consoleLog,reassigningError,throwLiteral,continue,break",2,0.0019520574685718748
"consoleLog,returnLiteral,break",2,0.0019520574685718748
"reassigningError,throwLiteral,continue,break",2,0.0019520574685718748
"returnLiteral,returnNull,continue,break",2,0.0019520574685718748
"returnLiteral,returnUndefined",2,0.0019520574685718748
"throwErrorObject,rethrow,break",2,0.0019520574685718748
"noUsageOfErrorArg,returnErrorObject",2,0.0019520574685718748
"consoleLog,returnNull",2,0.0019520574685718748
"returnLiteral,returnErrorObject",2,0.0019520574685718748
