repo,file,type,mech,strategy,lines,stmts,count
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/gulpfile.js,client,callback,reassigningError,2,2,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/gulpfile.js,client,callback,rethrow,12,2,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/gulpfile.js,client,promise,others,1,1,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/controllers/controller.doughnut.js,client,callback,noUsageOfErrorArg,10,5,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/controllers/controller.polarArea.js,client,callback,noUsageOfErrorArg,8,5,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/core/core.controller.js,client,callback,others,65,33,7
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/core/core.interaction.js,client,callback,others,93,41,9
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/core/core.tooltip.js,client,callback,others,22,8,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/platforms/platform.dom.js,client,callback,others,3,1,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/platforms/platform.dom.js,client,try-catch,empty,0,0,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/plugins/plugin.legend.js,client,callback,break,35,9,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/plugins/plugin.legend.js,client,callback,noUsageOfErrorArg,5,5,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/plugins/plugin.legend.js,client,callback,others,4,2,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/src/scales/scale.time.js,client,callback,others,14,14,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/test/jasmine.utils.js,client,try-catch,rethrow,2,2,1
Chart.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/client/Chart.js/test/specs/platform.dom.tests.js,client,callback,others,1,1,1
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/faker.js,server,callback,others,11,3,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/faker.js,server,try-catch,noUsageOfErrorArg,4,4,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/az/faker.az.js,server,callback,others,11,3,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/az/faker.az.js,server,try-catch,noUsageOfErrorArg,4,4,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/cz/faker.cz.js,server,callback,others,11,3,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/cz/faker.cz.js,server,try-catch,noUsageOfErrorArg,4,4,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/de/faker.de.js,server,callback,others,11,3,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/de/faker.de.js,server,try-catch,noUsageOfErrorArg,4,4,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/de_AT/faker.de_AT.js,server,callback,others,11,3,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/de_AT/faker.de_AT.js,server,try-catch,noUsageOfErrorArg,4,4,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/de_CH/faker.de_CH.js,server,callback,others,11,3,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/de_CH/faker.de_CH.js,server,try-catch,noUsageOfErrorArg,4,4,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en/faker.en.js,server,callback,others,11,3,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en/faker.en.js,server,try-catch,noUsageOfErrorArg,4,4,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en_AU/faker.en_AU.js,server,callback,others,11,3,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en_AU/faker.en_AU.js,server,try-catch,noUsageOfErrorArg,4,4,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en_BORK/faker.en_BORK.js,server,callback,others,11,3,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en_BORK/faker.en_BORK.js,server,try-catch,noUsageOfErrorArg,4,4,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en_CA/faker.en_CA.js,server,callback,others,11,3,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en_CA/faker.en_CA.js,server,try-catch,noUsageOfErrorArg,4,4,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en_GB/faker.en_GB.js,server,callback,others,11,3,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en_GB/faker.en_GB.js,server,try-catch,noUsageOfErrorArg,4,4,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en_IE/faker.en_IE.js,server,callback,others,11,3,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en_IE/faker.en_IE.js,server,try-catch,noUsageOfErrorArg,4,4,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en_IND/faker.en_IND.js,server,callback,others,11,3,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en_IND/faker.en_IND.js,server,try-catch,noUsageOfErrorArg,4,4,4
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en_US/faker.en_US.js,server,callback,others,11,3,2
Faker.js.csv,/home/local/CIN/lms7/project/extract-metrics/data/repo-today/server/Faker.js/build/build/locales/en_US/faker.en_US.js,server,try-catch,noUsageOfErrorArg,4,4,4
