mech,strategy,type,count
async-await,"consoleLog,rethrow",server,4
async-await,empty,client,1
async-await,empty,server,2
async-await,noUsageOfErrorArg,server,2
async-await,"noUsageOfErrorArg,throwErrorObject",server,14
async-await,others,client,2
async-await,others,server,9
async-await,reassigningError,client,1
async-await,rethrow,server,9
async-await,"rethrow,returnLiteral",client,2
async-await,"rethrow,returnNull",client,2
async-await,returnLiteral,server,1
callback,alert,client,8
callback,alert,server,1
callback,break,client,363
callback,break,server,123
callback,consoleLog,client,191
callback,consoleLog,server,289
callback,"consoleLog,alert",client,1
callback,"consoleLog,alert",server,1
callback,"consoleLog,break",client,7
callback,"consoleLog,reassigningError",client,12
callback,"consoleLog,reassigningError",server,18
callback,"consoleLog,reassigningError,break",client,1
callback,"consoleLog,reassigningError,rethrow,returnLiteral",server,1
callback,"consoleLog,reassigningError,throwErrorObject",client,1
callback,"consoleLog,reassigningError,throwErrorObject,returnLiteral",client,1
callback,"consoleLog,reassigningError,throwErrorObject,returnLiteral,break",server,1
callback,"consoleLog,reassigningError,throwErrorObject,returnLiteral,returnNull,continue,break",server,1
callback,"consoleLog,reassigningError,throwLiteral,continue,break",server,2
callback,"consoleLog,rethrow",client,7
callback,"consoleLog,rethrow",server,73
callback,"consoleLog,returnLiteral",client,1
callback,"consoleLog,returnLiteral",server,10
callback,"consoleLog,returnLiteral,break",client,2
callback,"consoleLog,returnLiteral,continue",client,1
callback,"consoleLog,returnLiteral,continue,break",client,1
callback,"consoleLog,throwErrorObject",client,2
callback,"consoleLog,throwErrorObject",server,1
callback,"consoleLog,throwErrorObject,rethrow",client,1
callback,"consoleLog,throwErrorObject,rethrow",server,11
callback,"consoleLog,throwErrorObject,rethrow,continue",server,1
callback,"consoleLog,throwErrorObject,rethrow,continue,break",server,1
callback,"consoleLog,throwLiteral",client,1
callback,"consoleLog,throwLiteral,throwErrorObject,rethrow",server,1
callback,continue,client,45
callback,continue,server,22
callback,"continue,break",client,18
callback,"continue,break",server,6
callback,noUsageOfErrorArg,client,2394
callback,noUsageOfErrorArg,server,2946
callback,"noUsageOfErrorArg,alert",client,1
callback,"noUsageOfErrorArg,alert,break",client,1
callback,"noUsageOfErrorArg,break",client,19
callback,"noUsageOfErrorArg,break",server,4
callback,"noUsageOfErrorArg,consoleLog",client,32
callback,"noUsageOfErrorArg,consoleLog",server,64
