,repo,type,eventsNumberOfEventUncaughtException,numberOfWindowOnError,numberOfWindowAddEventListener
0,Chart.js.csv,client,0,0,0
1,Faker.js.csv,server,0,0,0
2,Ghost.csv,server,0,0,0
3,JavaScript-Garden.csv,client,0,0,0
4,JavaScript-Koans.csv,client,0,1,0
5,JavaScript-Load-Image.csv,client,1,0,0
6,JavaScript-MD5.csv,server,1,0,0
7,MQTT.js.csv,server,0,0,0
8,MagicMirror.csv,server,1,0,0
9,Modernizr.csv,client,0,0,0
10,NodeBB.csv,server,1,0,0
11,OS.js.csv,client,1,2,0
12,PapaParse.csv,server,0,0,0
13,PhotoSwipe.csv,client,0,0,0
14,Rocket.Chat.csv,client,2,0,0
15,RxJS.csv,server,0,0,0
16,Semantic-UI.csv,client,0,0,0
17,Smart-Table.csv,client,0,0,0
18,UglifyJS2.csv,server,2,0,0
19,ajenti.csv,client,0,0,0
20,angular-starter.csv,client,0,0,0
21,angular-translate.csv,client,0,0,0
22,apidoc.csv,server,1,0,0
23,art-template.csv,server,0,0,0
24,atom.csv,server,2,0,0
25,ava.csv,server,1,0,0
26,aws-sdk-js.csv,server,0,0,0
27,axios.csv,server,0,0,0
28,babel.csv,client,0,0,0
29,backbone.csv,client,0,1,0
30,bitcoinjs-lib.csv,server,0,0,0
31,bluebird.csv,server,2,1,0
32,bootstrap.csv,client,0,0,0
33,brackets.csv,client,0,5,0
34,card.csv,client,0,0,0
35,cheerio.csv,server,0,0,0
36,closure-compiler.csv,server,0,0,0
37,closure-library.csv,client,0,5,0
38,clumsy-bird.csv,client,0,0,0
39,co.csv,server,0,0,0
40,create-react-app.csv,client,0,0,0
41,d3.csv,client,0,0,0
42,democracyos.csv,client,0,0,0
43,docco.csv,server,0,0,0
44,docsify.csv,server,0,0,0
45,dragula.csv,client,0,0,0
46,dropzone.csv,client,0,0,0
47,drywall.csv,server,0,0,0
48,echarts.csv,client,0,0,0
49,electron.csv,server,10,1,0
50,engine.csv,client,0,0,0
51,eslint-plugin-react.csv,client,0,0,0
52,eslint.csv,server,0,0,0
53,express.csv,server,0,0,0
54,expressjs.com.csv,server,0,0,0
55,fetch.csv,client,0,0,0
56,fingerprintjs2.csv,client,0,0,0
57,flowchart.js.csv,server,0,0,0
58,forever.csv,server,0,0,0
59,foundation-sites.csv,client,0,0,0
60,framework.csv,client,0,0,0
61,fullPage.js.csv,client,0,0,0
62,grunt.csv,server,1,0,0
63,gulp.csv,server,0,0,0
64,handlebars.js.csv,server,0,0,0
65,hapi.csv,server,0,0,0
66,hexo.csv,server,0,0,0
67,highcharts-ng.csv,client,0,0,0
68,history.js.csv,client,0,1,0
69,homebridge.csv,server,0,0,0
70,hospitalrun-frontend.csv,client,1,0,0
71,howler.js.csv,client,0,0,0
72,html2canvas.csv,client,0,0,0
73,http-server.csv,server,0,0,0
74,iD.csv,server,0,0,0
75,immutable-js.csv,server,0,0,0
76,impress.js.csv,client,0,0,0
77,intro.js.csv,client,0,0,0
