,repo,numberOfLogicalLines,numberOfPhysicalLines,total_files
0,handlebars.js.csv,10945.0,10946.0,92.0
1,jsdom.csv,96793.0,97189.0,318.0
2,eslint.csv,129214.0,132644.0,863.0
3,store.js.csv,953.0,953.0,12.0
4,nuxt.js.csv,2051.0,2066.0,48.0
5,sinon.csv,17794.0,17909.0,79.0
6,meteor.csv,194987.0,195310.0,952.0
7,sails.csv,21640.0,21838.0,214.0
8,hapi.csv,27697.0,27789.0,37.0
9,PapaParse.csv,2843.0,2843.0,6.0
10,bitcoinjs-lib.csv,5293.0,5293.0,56.0
11,metalsmith.csv,989.0,991.0,13.0
12,pouchdb.csv,74747.0,74748.0,90.0
13,wekan.csv,5676.0,5681.0,74.0
14,webtorrent.csv,5641.0,5645.0,39.0
15,node-inspector.csv,115437.0,115455.0,410.0
16,pug.csv,1657.0,1657.0,24.0
17,express.csv,10488.0,10779.0,151.0
18,protobuf.js.csv,23475.0,23485.0,110.0
19,svgo.csv,5353.0,5353.0,59.0
20,docco.csv,247.0,247.0,1.0
21,node-serialport.csv,3573.0,3573.0,31.0
22,react-native.csv,37256.0,37929.0,1077.0
23,spectron.csv,5633.0,5633.0,26.0
24,hexo.csv,18926.0,18926.0,263.0
25,natural.csv,13744.0,13745.0,165.0
26,closure-compiler.csv,59575.0,59584.0,447.0
27,Faker.js.csv,709056.0,709149.0,1251.0
28,moment-timezone.csv,26521.0,26521.0,627.0
29,co.csv,730.0,730.0,12.0
30,node-opencv.csv,924.0,926.0,28.0
31,node-http-proxy.csv,2930.0,2930.0,40.0
32,aws-sdk-js.csv,134632.0,134636.0,276.0
33,standard.csv,51.0,51.0,4.0
34,MQTT.js.csv,3457.0,3458.0,27.0
35,jsdoc.csv,20630.0,20645.0,416.0
