,repo,mech,type,count
0,Chart.js.csv,callback,client,27
1,Chart.js.csv,promise,client,1
2,Chart.js.csv,try-catch,client,2
3,Faker.js.csv,callback,server,210
4,Faker.js.csv,try-catch,server,452
5,Ghost.csv,callback,server,413
6,Ghost.csv,event,server,4
7,Ghost.csv,promise,server,306
8,Ghost.csv,try-catch,server,120
9,JavaScript-Garden.csv,callback,client,3
10,JavaScript-Garden.csv,try-catch,client,4
11,JavaScript-Koans.csv,callback,client,12
12,JavaScript-Koans.csv,try-catch,client,52
13,JavaScript-Load-Image.csv,callback,client,83
14,JavaScript-Load-Image.csv,event,client,2
15,JavaScript-Load-Image.csv,promise,client,2
16,JavaScript-Load-Image.csv,try-catch,client,171
17,JavaScript-MD5.csv,callback,server,55
18,JavaScript-MD5.csv,event,server,2
19,JavaScript-MD5.csv,try-catch,server,122
20,MQTT.js.csv,callback,server,38
21,MQTT.js.csv,event,server,27
22,MQTT.js.csv,try-catch,server,17
23,MagicMirror.csv,callback,server,32
24,MagicMirror.csv,event,server,5
25,MagicMirror.csv,promise,server,1
26,MagicMirror.csv,try-catch,server,13
27,Modernizr.csv,callback,client,15
28,Modernizr.csv,try-catch,client,258
29,NodeBB.csv,callback,server,3122
30,NodeBB.csv,event,server,11
31,NodeBB.csv,promise,server,4
32,NodeBB.csv,try-catch,server,205
33,OS.js.csv,callback,client,378
34,OS.js.csv,event,client,7
35,OS.js.csv,promise,client,104
36,OS.js.csv,try-catch,client,264
37,PapaParse.csv,callback,server,46
38,PapaParse.csv,try-catch,server,15
39,PhotoSwipe.csv,callback,client,38
40,Rocket.Chat.csv,async-await,client,1
41,Rocket.Chat.csv,callback,client,725
42,Rocket.Chat.csv,event,client,13
43,Rocket.Chat.csv,promise,client,16
44,Rocket.Chat.csv,try-catch,client,286
45,RxJS.csv,callback,server,181
46,RxJS.csv,event,server,2
47,RxJS.csv,promise,server,7
48,RxJS.csv,try-catch,server,35
49,Semantic-UI.csv,callback,client,47
50,Semantic-UI.csv,event,client,2
51,Semantic-UI.csv,try-catch,client,71
52,UglifyJS2.csv,callback,server,98
53,UglifyJS2.csv,event,server,2
54,UglifyJS2.csv,try-catch,server,129
55,ajenti.csv,callback,client,370
56,ajenti.csv,event,client,1
57,ajenti.csv,try-catch,client,160
58,angular-starter.csv,callback,client,1
59,angular-starter.csv,try-catch,client,1
60,angular-translate.csv,callback,client,27
61,angular-translate.csv,promise,client,2
62,angular-translate.csv,try-catch,client,21
63,apidoc.csv,callback,server,28
64,apidoc.csv,event,server,1
65,apidoc.csv,try-catch,server,33
66,atom.csv,callback,server,154
67,atom.csv,event,server,10
68,atom.csv,promise,server,14
69,atom.csv,try-catch,server,141
70,ava.csv,callback,server,100
71,ava.csv,event,server,4
72,ava.csv,promise,server,8
73,ava.csv,try-catch,server,55
74,aws-sdk-js.csv,async-await,server,3
75,aws-sdk-js.csv,callback,server,715
76,aws-sdk-js.csv,event,server,69
77,aws-sdk-js.csv,promise,server,2
78,aws-sdk-js.csv,try-catch,server,710
79,axios.csv,callback,server,26
80,axios.csv,event,server,3
81,axios.csv,promise,server,12
82,axios.csv,try-catch,server,28
83,babel.csv,async-await,client,5
84,babel.csv,callback,client,73
85,babel.csv,promise,client,3
86,babel.csv,try-catch,client,59
87,backbone.csv,callback,client,85
88,backbone.csv,event,client,3
89,backbone.csv,try-catch,client,93
90,bitcoinjs-lib.csv,callback,server,39
91,bitcoinjs-lib.csv,try-catch,server,7
92,bluebird.csv,callback,server,587
93,bluebird.csv,event,server,4
94,bluebird.csv,promise,server,6
95,bluebird.csv,try-catch,server,276
96,bootstrap.csv,callback,client,39
97,bootstrap.csv,event,client,1
98,bootstrap.csv,promise,client,3
99,bootstrap.csv,try-catch,client,45
100,brackets.csv,callback,client,1371
101,brackets.csv,event,client,15
102,brackets.csv,promise,client,6
103,brackets.csv,try-catch,client,1069
104,card.csv,callback,client,42
105,card.csv,try-catch,client,14
106,cheerio.csv,callback,server,3
107,cheerio.csv,event,server,1
108,cheerio.csv,try-catch,server,1
109,closure-compiler.csv,async-await,server,1
110,closure-compiler.csv,callback,server,258
111,closure-compiler.csv,promise,server,5
112,closure-compiler.csv,try-catch,server,83
113,closure-library.csv,async-await,client,1
114,closure-library.csv,callback,client,1236
115,closure-library.csv,try-catch,client,629
116,clumsy-bird.csv,callback,client,44
117,clumsy-bird.csv,try-catch,client,34
118,co.csv,callback,server,10
119,co.csv,promise,server,5
120,co.csv,try-catch,server,45
121,create-react-app.csv,callback,client,18
122,create-react-app.csv,event,client,6
123,create-react-app.csv,promise,client,7
124,create-react-app.csv,try-catch,client,19
125,d3.csv,callback,client,3
126,democracyos.csv,callback,client,265
127,democracyos.csv,promise,client,52
128,democracyos.csv,try-catch,client,6
129,docco.csv,callback,server,3
130,docsify.csv,callback,server,13
131,docsify.csv,promise,server,2
132,docsify.csv,try-catch,server,22
133,dragula.csv,callback,client,18
134,dragula.csv,try-catch,client,4
135,dropzone.csv,callback,client,54
136,dropzone.csv,try-catch,client,23
137,drywall.csv,callback,server,227
138,drywall.csv,event,server,1
139,echarts.csv,callback,client,440
140,echarts.csv,promise,client,3
141,echarts.csv,try-catch,client,145
142,electron.csv,callback,server,313
143,electron.csv,event,server,42
144,electron.csv,promise,server,17
145,electron.csv,try-catch,server,97
146,engine.csv,callback,client,71
147,engine.csv,event,client,6
148,engine.csv,try-catch,client,10
149,eslint-plugin-react.csv,callback,client,3
150,eslint-plugin-react.csv,try-catch,client,4
151,eslint.csv,callback,server,40
152,eslint.csv,event,server,1
153,eslint.csv,try-catch,server,178
154,express.csv,callback,server,146
155,express.csv,try-catch,server,17
156,expressjs.com.csv,callback,server,23
157,fetch.csv,callback,client,13
158,fetch.csv,promise,client,8
159,fetch.csv,try-catch,client,3
160,fingerprintjs2.csv,callback,client,12
161,fingerprintjs2.csv,event,client,1
162,fingerprintjs2.csv,promise,client,1
163,fingerprintjs2.csv,try-catch,client,54
164,flowchart.js.csv,callback,server,1
165,forever.csv,callback,server,44
166,forever.csv,event,server,9
