,mech,strategy,err,hypothesis_test,p_value,statistic
0,try-catch,empty,Inconclusive under 5% confidence,ttest_ind,0.3256540773383795,-0.45316290793220243
1,try-catch,rethrow,Inconclusive under 5% confidence,ttest_ind,0.26794766098750755,0.6218975450593239
2,try-catch,consoleLog,Inconclusive under 5% confidence,ttest_ind,0.2582613503951148,0.6570544967081476
3,try-catch,noUsageOfErrorArg,Inconclusive under 5% confidence,ttest_ind,0.3539694069363558,0.37557350307471293
4,try-catch,"noUsageOfErrorArg,returnLiteral",Inconclusive under 5% confidence,ttest_ind,0.2177427318635216,-0.7841564084567361
5,try-catch,others,Inconclusive under 5% confidence,ttest_ind,0.4127710490294695,0.2209034762351394
6,try-catch,reassigningError,Inconclusive under 5% confidence,ttest_ind,0.17826925039700497,-0.9277790458299268
7,try-catch,"reassigningError,rethrow",skewtest is not valid with less than 8 samples; 5 samples were given.,,,
8,try-catch,"noUsageOfErrorArg,reassigningError",Inconclusive under 5% confidence,ttest_ind,0.10115229079405258,1.3377487412065197
9,try-catch,"noUsageOfErrorArg,returnErrorObject",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
10,try-catch,"noUsageOfErrorArg,break",skewtest is not valid with less than 8 samples; 7 samples were given.,,,
11,try-catch,"rethrow,break",skewtest is not valid with less than 8 samples; 5 samples were given.,,,
12,try-catch,"noUsageOfErrorArg,consoleLog",skewtest is not valid with less than 8 samples; 6 samples were given.,,,
13,try-catch,"noUsageOfErrorArg,continue",skewtest is not valid with less than 8 samples; 5 samples were given.,,,
14,try-catch,returnLiteral,Inconclusive under 5% confidence,mannwhitneyu,0.2602470360316482,45.5
15,try-catch,"consoleLog,rethrow",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
16,try-catch,"noUsageOfErrorArg,returnNull",Inconclusive under 5% confidence,ttest_ind,0.2305448410898952,-0.7455048332735906
17,try-catch,"noUsageOfErrorArg,throwLiteral",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
18,try-catch,"rethrow,returnLiteral",skewtest is not valid with less than 8 samples; 7 samples were given.,,,
19,try-catch,break,skewtest is not valid with less than 8 samples; 1 samples were given.,,,
20,try-catch,continue,skewtest is not valid with less than 8 samples; 4 samples were given.,,,
21,try-catch,"noUsageOfErrorArg,returnUndefined",skewtest is not valid with less than 8 samples; 6 samples were given.,,,
22,try-catch,"throwErrorObject,rethrow",Inconclusive under 5% confidence,mannwhitneyu,0.4688495270965349,48.5
23,try-catch,"noUsageOfErrorArg,consoleLog,throwLiteral",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
24,try-catch,throwLiteral,skewtest is not valid with less than 8 samples; 0 samples were given.,,,
25,try-catch,returnNull,skewtest is not valid with less than 8 samples; 6 samples were given.,,,
26,try-catch,"rethrow,returnNull",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
27,try-catch,"consoleLog,reassigningError",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
28,try-catch,"consoleLog,returnLiteral",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
29,try-catch,"reassigningError,returnLiteral",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
30,try-catch,returnUndefined,skewtest is not valid with less than 8 samples; 2 samples were given.,,,
31,try-catch,"noUsageOfErrorArg,alert",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
32,try-catch,"noUsageOfErrorArg,consoleLog,returnLiteral",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
33,try-catch,throwErrorObject,skewtest is not valid with less than 8 samples; 2 samples were given.,,,
34,try-catch,"consoleLog,throwErrorObject,rethrow",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
35,try-catch,"reassigningError,break",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
36,try-catch,"reassigningError,continue",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
37,try-catch,"reassigningError,rethrow,returnLiteral",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
38,try-catch,"rethrow,continue,break",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
39,try-catch,alert,skewtest is not valid with less than 8 samples; 3 samples were given.,,,
40,try-catch,"rethrow,continue",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
41,try-catch,returnErrorObject,skewtest is not valid with less than 8 samples; 0 samples were given.,,,
42,try-catch,"noUsageOfErrorArg,reassigningError,break",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
43,try-catch,"rethrow,returnUndefined",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
44,try-catch,"reassigningError,continue,break",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
45,try-catch,"consoleLog,break",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
46,try-catch,"consoleLog,returnNull",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
47,callback,break,Inconclusive under 5% confidence,ttest_ind,0.11761796324270653,1.2006236429022867
48,callback,noUsageOfErrorArg,Inconclusive under 5% confidence,ttest_ind,0.40974739596023435,0.22888717590807373
49,callback,others,Inconclusive under 5% confidence,ttest_ind,0.3969823835047716,0.26159133629015635
50,callback,reassigningError,Inconclusive under 5% confidence,ttest_ind,0.09610299708674838,1.3126865229577491
51,callback,rethrow,Inconclusive under 5% confidence,ttest_ind,0.1336957718962164,-1.1165004752941843
52,callback,continue,Inconclusive under 5% confidence,ttest_ind,0.12172108823343489,1.2001590562668527
53,callback,"noUsageOfErrorArg,break",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
54,callback,"reassigningError,break",skewtest is not valid with less than 8 samples; 6 samples were given.,,,
55,callback,"throwErrorObject,rethrow",Inconclusive under 5% confidence,ttest_ind,0.19698412165167006,0.8668235771956929
56,callback,returnLiteral,Inconclusive under 5% confidence,ttest_ind,0.1699004421249216,0.9622282151536411
57,callback,consoleLog,Inconclusive under 5% confidence,ttest_ind,0.41661765570312004,0.21154247973157358
58,callback,"consoleLog,break",skewtest is not valid with less than 8 samples; 5 samples were given.,,,
59,callback,"returnLiteral,break",skewtest is not valid with less than 8 samples; 7 samples were given.,,,
60,callback,returnNull,Inconclusive under 5% confidence,ttest_ind,0.053794921996645526,1.6587355237345325
61,callback,throwErrorObject,Inconclusive under 5% confidence,mannwhitneyu,0.49476831036363816,217.5
62,callback,"consoleLog,reassigningError,rethrow,returnLiteral",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
63,callback,"noUsageOfErrorArg,consoleLog",Inconclusive under 5% confidence,mannwhitneyu,0.37583781987408393,74.5
64,callback,"consoleLog,rethrow",skewtest is not valid with less than 8 samples; 6 samples were given.,,,
65,callback,"reassigningError,returnLiteral",Inconclusive under 5% confidence,ttest_ind,0.3529225345234749,0.3834950719909942
66,callback,"rethrow,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
67,callback,throwLiteral,skewtest is not valid with less than 8 samples; 1 samples were given.,,,
68,callback,"throwLiteral,returnNull,break",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
69,callback,alert,skewtest is not valid with less than 8 samples; 6 samples were given.,,,
70,callback,"noUsageOfErrorArg,alert",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
71,callback,"reassigningError,returnNull",skewtest is not valid with less than 8 samples; 4 samples were given.,,,
72,callback,"returnLiteral,returnNull",skewtest is not valid with less than 8 samples; 3 samples were given.,,,
73,callback,"consoleLog,reassigningError",skewtest is not valid with less than 8 samples; 6 samples were given.,,,
74,callback,"noUsageOfErrorArg,returnLiteral",Inconclusive under 5% confidence,ttest_ind,0.06387717439834038,1.5856876892624443
75,callback,"consoleLog,alert",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
76,callback,"consoleLog,returnLiteral,continue",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
77,callback,"consoleLog,throwLiteral",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
78,callback,"noUsageOfErrorArg,consoleLog,returnLiteral",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
79,callback,"noUsageOfErrorArg,returnNull",skewtest is not valid with less than 8 samples; 4 samples were given.,,,
80,callback,"reassigningError,throwLiteral,throwErrorObject,returnNull,continue,break",skewtest is not valid with less than 8 samples; 1 samples were given.,,,
81,callback,"noUsageOfErrorArg,continue",skewtest is not valid with less than 8 samples; 4 samples were given.,,,
82,callback,"noUsageOfErrorArg,throwErrorObject",skewtest is not valid with less than 8 samples; 5 samples were given.,,,
83,callback,"reassigningError,rethrow",skewtest is not valid with less than 8 samples; 3 samples were given.,,,
84,callback,"reassigningError,throwErrorObject",skewtest is not valid with less than 8 samples; 6 samples were given.,,,
85,callback,"reassigningError,throwErrorObject,rethrow",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
86,callback,"noUsageOfErrorArg,reassigningError",skewtest is not valid with less than 8 samples; 5 samples were given.,,,
87,callback,"reassigningError,throwErrorObject,returnLiteral,returnNull,continue,break",skewtest is not valid with less than 8 samples; 2 samples were given.,,,
88,callback,"consoleLog,reassigningError,throwErrorObject,returnLiteral,returnNull,continue,break",skewtest is not valid with less than 8 samples; 0 samples were given.,,,
89,callback,"noUsageOfErrorArg,returnLiteral,break",skewtest is not valid with less than 8 samples; 3 samples were given.,,,
90,callback,returnErrorObject,skewtest is not valid with less than 8 samples; 5 samples were given.,,,
