repo,type,mech,count
Chart.js.csv,client,callback,27
Chart.js.csv,client,promise,1
Chart.js.csv,client,try-catch,2
Faker.js.csv,server,callback,210
Faker.js.csv,server,try-catch,452
Ghost.csv,server,callback,413
Ghost.csv,server,event,4
Ghost.csv,server,promise,306
Ghost.csv,server,try-catch,120
JavaScript-Garden.csv,client,callback,3
JavaScript-Garden.csv,client,try-catch,4
JavaScript-Koans.csv,client,callback,12
JavaScript-Koans.csv,client,try-catch,52
JavaScript-Load-Image.csv,client,callback,83
JavaScript-Load-Image.csv,client,event,2
JavaScript-Load-Image.csv,client,promise,2
JavaScript-Load-Image.csv,client,try-catch,171
JavaScript-MD5.csv,server,callback,55
JavaScript-MD5.csv,server,event,2
JavaScript-MD5.csv,server,try-catch,122
MQTT.js.csv,server,callback,38
MQTT.js.csv,server,event,27
MQTT.js.csv,server,try-catch,17
MagicMirror.csv,server,callback,32
MagicMirror.csv,server,event,5
MagicMirror.csv,server,promise,1
MagicMirror.csv,server,try-catch,13
Modernizr.csv,client,callback,15
Modernizr.csv,client,try-catch,258
NodeBB.csv,server,callback,3122
NodeBB.csv,server,event,11
NodeBB.csv,server,promise,4
NodeBB.csv,server,try-catch,205
OS.js.csv,client,callback,378
OS.js.csv,client,event,7
OS.js.csv,client,promise,104
OS.js.csv,client,try-catch,264
PapaParse.csv,server,callback,46
PapaParse.csv,server,try-catch,15
PhotoSwipe.csv,client,callback,38
Rocket.Chat.csv,client,async-await,1
Rocket.Chat.csv,client,callback,725
Rocket.Chat.csv,client,event,13
Rocket.Chat.csv,client,promise,16
Rocket.Chat.csv,client,try-catch,286
RxJS.csv,server,callback,181
RxJS.csv,server,event,2
RxJS.csv,server,promise,7
RxJS.csv,server,try-catch,35
Semantic-UI.csv,client,callback,47
Semantic-UI.csv,client,event,2
Semantic-UI.csv,client,try-catch,71
UglifyJS2.csv,server,callback,98
UglifyJS2.csv,server,event,2
UglifyJS2.csv,server,try-catch,129
ajenti.csv,client,callback,370
ajenti.csv,client,event,1
ajenti.csv,client,try-catch,160
angular-starter.csv,client,callback,1
angular-starter.csv,client,try-catch,1
angular-translate.csv,client,callback,27
angular-translate.csv,client,promise,2
angular-translate.csv,client,try-catch,21
apidoc.csv,server,callback,28
apidoc.csv,server,event,1
apidoc.csv,server,try-catch,33
atom.csv,server,callback,154
atom.csv,server,event,10
atom.csv,server,promise,14
atom.csv,server,try-catch,141
ava.csv,server,callback,100
ava.csv,server,event,4
ava.csv,server,promise,8
ava.csv,server,try-catch,55
aws-sdk-js.csv,server,async-await,3
aws-sdk-js.csv,server,callback,715
aws-sdk-js.csv,server,event,69
aws-sdk-js.csv,server,promise,2
aws-sdk-js.csv,server,try-catch,710
axios.csv,server,callback,26
axios.csv,server,event,3
axios.csv,server,promise,12
axios.csv,server,try-catch,28
babel.csv,client,async-await,5
babel.csv,client,callback,73
babel.csv,client,promise,3
babel.csv,client,try-catch,59
backbone.csv,client,callback,85
backbone.csv,client,event,3
backbone.csv,client,try-catch,93
bitcoinjs-lib.csv,server,callback,39
bitcoinjs-lib.csv,server,try-catch,7
bluebird.csv,server,callback,587
bluebird.csv,server,event,4
bluebird.csv,server,promise,6
bluebird.csv,server,try-catch,276
